canonical_key,trigger,location,regime,regime_score,is_structurally_sound,rejection_reason,support_pct,support_ok,support_score,avg_trades_per_day,density_dispersion,tail_ratio,mae,mfe,mean_ret_global,mean_ret_mask,ret_uplift,lift,learn_eff_ratio,subset_oof_coverage,baseline_oof_coverage,entropy_reduction,tp_rate,sl_rate,timeout_rate,ev_per_trade,ev_per_event,win_rate_conditional,win_rate_unconditional,production_classification,classification_diagnostics,rule_type_class
(*)|(*)|(reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,*,reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top80==0),*,*,reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top80==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==1),*,*,reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1),*,*,reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_band25_75==1,reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1),*,*,reg_atr_change_rate_ts_band20_80==1&reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(*)|(reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==0),*,*,reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0&reg_ema20_gt_ema50_raw==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_band30_70==1)|(reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_band30_70==1,reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_band40_60==1)|(reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_band40_60==1,reg_atr_change_rate_ts_band30_70==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_band40_60==1)|(reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_band40_60==1,reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1),*,loc_dist_ema20_atr_ts_top20==1,reg_atr_change_rate_ts_band40_60==1&reg_atr_change_rate_ts_top50==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top30==1)|(reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_top30==1,reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top40==1)|(reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_top40==1,reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
(*)|(loc_dist_ema20_atr_ts_top50==1&loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_top20==1),*,loc_dist_ema20_atr_ts_top50==1&loc_dist_ema20_atr_ts_top60==0,reg_atr_change_rate_ts_top20==1,,False,high_density_dispersion_top_decile,0.1,True,-0.0,24.0,0.45216867923155313,,0.0,0.26524513959884644,0.27540451288223267,0.26524513959884644,-0.01015937328338623,,,0.0,0.5,,0.2694681861348528,0.5576923076923077,0.1678537511870845,0.26524513959884644,0.08552686253589709,0.32577497129726585,0.2694681861347888,rejected,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.26233496765295666, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": -0.26240500146660267, ""threshold"": 0.0, ""passed"": false}, ""min_support_actual"": {""value"": 617, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""hurdle_excess=-0.262405 <= 0"", ""structural_soundness_fail: not_structurally_sound"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",ranking
