canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(mark_perp_dislocation<=-0.0035453611&ob_pressure_mkt_resid<=-0.00031842364&oi_1d_chg_z>-0.14695878),*,*,mark_perp_dislocation<=-0.0035453611&ob_pressure_mkt_resid<=-0.00031842364&oi_1d_chg_z>-0.14695878,0.005361509625799954,0.005361509625799954,0.00026926324353801685,0.024918566923588514,0.10431777602878343,0.007922192332690875,1.0,1.0,0.6355421686746988,1027,,,0.09179663121314573,0.08703318039866821,0.09230490615584538,0.0970683569703229,,1.0,0.09169223476184508,1.201522692841341,0.75,0.21443288959562778,0.012927045891155614,0.5405123233795166,0.22532293620991184,,,,,,,,,,,7.02994280718769e-05,0.005291210197728077,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.09353333333333333,0.09169223476184508,0.012927045891155614,-0.02234518527984619,1.0,primary_target,0,,0.8841795457611872,,0.6129753726303573,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005361509625799954, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1027, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_prior_bar_pos_48<=0.50000757)|(log_oi_to_volume_7d<=37.978031&symbol_minus_mkt_ret_1h>0.43247983),*,loc_prior_bar_pos_48<=0.50000757,log_oi_to_volume_7d<=37.978031&symbol_minus_mkt_ret_1h>0.43247983,0.0036459428883972578,0.0036459428883972578,0.0024828349693045404,0.021693439222872257,0.11135150288584064,0.019465219443299573,1.0,1.0,0.6232464929859719,1196,,,0.05800791281128043,0.0475086110243953,0.06354967445352395,0.07404897624040908,,1.0,0.11251306277745679,1.6541606040881875,0.75,0.26241918420419097,0.03374787390676733,0.7121786493808031,0.39146745477998784,,,,,,,,,,,7.013039703143264e-05,0.003575812491365825,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.08713333333333333,0.11251306277745679,0.03374787390676733,0.004245400428771973,1.0,primary_target,0,,0.9235684161607076,,0.589470928501339,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0036459428883972578, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1196, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_swing_range_pos_48<=0.19422607&oiw_pos_delta_entry_dist_1d_atr>-0.37475413)|(mark_perp_dislocation<=0.0038643442&price_rv_15d_robust_z>-1.666728),*,loc_swing_range_pos_48<=0.19422607&oiw_pos_delta_entry_dist_1d_atr>-0.37475413,mark_perp_dislocation<=0.0038643442&price_rv_15d_robust_z>-1.666728,0.003565552528016269,0.003565552528016269,0.0006785757469632826,0.022118170280009508,0.11455094445693725,0.019843261887620436,1.0,1.0,0.6122244488977956,1295,,,0.06417247174998233,0.04350897009509031,0.06066462821362058,0.08132812986851261,,1.0,0.16549775375400025,2.692454529814054,1.0,0.34221683628857136,0.08673256488331077,0.9585687518119812,0.2632237160331289,,,,,,,,,,,9.009826448556781e-05,0.0034754542635307014,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.09313333333333333,0.16549775375400025,0.08673256488331077,0.0643242597579956,1.0,primary_target,0,,0.9414852889588485,,0.5812339148673756,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003565552528016269, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1295, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_ret_vs_universe_4h>0.16719314&mark_perp_dislocation<=-0.00067863939&ob_imbalance_mkt_resid<=-0.00089406967),*,*,asset_ret_vs_universe_4h>0.16719314&mark_perp_dislocation<=-0.00067863939&ob_imbalance_mkt_resid<=-0.00089406967,0.0068438430316746235,0.0068438430316746235,0.0010202070358465091,0.02661235211417079,0.08877485196012291,0.005878016161521929,1.0,1.0,0.6426426426426426,847,,,0.10554875822391527,0.10046015183860399,0.11048607530992463,0.11557468169523591,,1.0,0.07692857708776402,1.089732174470239,0.75,0.16353878937661648,-0.0018366117829254486,0.4753545820713043,0.1752780688181179,,,,,,,,,,,7.09185829453577e-05,0.006772924448729266,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.08186666666666667,0.07692857708776402,-0.0018366117829254486,-0.03515315055847168,0.8203976313619665,primary_target,0,,0.4971391709766883,,0.5825350239330576,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0068438430316746235, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 847, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_atr_level_pct<=0.73349553&asset_minus_mkt_oi_1d_peer_resid>-0.65781158&mark_perp_dislocation<=-0.0031759385&ob_imbalance_mkt_resid<=-2.5008941),*,*,asset_atr_level_pct<=0.73349553&asset_minus_mkt_oi_1d_peer_resid>-0.65781158&mark_perp_dislocation<=-0.0031759385&ob_imbalance_mkt_resid<=-2.5008941,0.0066976158414036036,0.0066976158414036036,0.0008215550350727985,0.022606139536947012,0.09836829323139194,0.009967755384586002,1.0,1.0,0.6525679758308157,995,,,0.10542159182004854,0.10090130909780454,0.10324968881981314,0.10776997154205713,,1.0,0.13920073930322518,1.9099539753301065,1.0,0.2520443629473448,0.060435550432535706,0.8664301000535488,0.27764459649787415,,,,,,,,,,,9.063832302486823e-05,0.006606977518378736,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.08566666666666667,0.13920073930322518,0.060435550432535706,0.07509791851043701,0.973892691702271,primary_target,0,,0.5508624420957948,,0.582752728922803,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0066976158414036036, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 995, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(abs_ret_per_oi_z_24h<=0.83071315&asset_funding_rate_abs_mean_7d>0.000030927724&mark_perp_dislocation<=0.020080529&symbol_minus_mkt_ret_1h>0.025283214),*,*,abs_ret_per_oi_z_24h<=0.83071315&asset_funding_rate_abs_mean_7d>0.000030927724&mark_perp_dislocation<=0.020080529&symbol_minus_mkt_ret_1h>0.025283214,0.00293580477591604,0.00293580477591604,0.001219257081053069,0.02483656443655491,0.14358808560077954,0.019555937721086353,1.0,1.0,0.6546546546546547,1575,,,0.06110922018672181,0.04899587735378335,0.056635868699279016,0.06874921153221747,,1.0,0.08192392691184958,2.2218180333710325,1.0,0.16709891334176064,0.0031587380411601147,0.4665587730705738,0.2516696840188701,,,,,,,,,,,9.015548261683585e-05,0.002845649293299204,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.12773333333333334,0.08192392691184958,0.0031587380411601147,-0.023557186126708984,1.0,primary_target,0,,0.8959067206356346,,0.5592479867130983,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00293580477591604, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1575, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_vs_perp_bps<=-1.6776947&ob_pressure_mkt_resid<=-0.0014901161&volume_percentile>-0.00000000000000000000000000000000001),*,*,mark_vs_perp_bps<=-1.6776947&ob_pressure_mkt_resid<=-0.0014901161&volume_percentile>-0.00000000000000000000000000000000001,0.005750120151787996,0.005750120151787996,0.0007912523667075378,0.02252709399908781,0.08860667491192564,0.009306668262464783,1.0,1.0,0.6156156156156156,876,,,0.08855586844964021,0.08466721562209768,0.08965481986215487,0.0935434726896974,,1.0,0.07928145937325795,0.9795352290158124,0.5,0.1823639553040266,0.0005162705025684895,0.28020868077874184,0.16512069684185582,,,,,,,,,,,7.092713187767638e-05,0.00567919301991032,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.07613333333333333,0.07928145937325795,0.0005162705025684895,0.053165316581726074,0.8177067985908102,primary_target,0,,0.49619737950678355,,0.5734324541873566,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005750120151787996, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 876, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(abs_ret_per_oi_z_24h<=0.10189695&asset_mom_minus_basket_mom_24h<=-0.29065868&symbol_minus_mkt_ret_1h>0.42328537),*,*,abs_ret_per_oi_z_24h<=0.10189695&asset_mom_minus_basket_mom_24h<=-0.29065868&symbol_minus_mkt_ret_1h>0.42328537,0.0030185303039615974,0.0030185303039615974,0.002360385334802487,0.02496563410386443,0.10368491867176374,0.0173990295390321,1.0,1.0,0.6706827309236948,1062,,,0.053254768140953215,0.03811757184616077,0.056683103943077656,0.0718203002378701,,1.0,0.10229473697112218,1.505848664669385,0.5,0.2517672865651548,0.023529548100432715,0.6363003978040069,0.40249599416596127,,,,,,,,,,,7.031803288442051e-05,0.0029482122710771767,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.08553333333333334,0.10229473697112218,0.023529548100432715,-0.04625248908996582,1.0,primary_target,0,,0.880635544561877,,0.5735041616124578,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0030185303039615974, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1062, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_swing_range_pos_48<=0.2842384)|(symbol_minus_mkt_ret_1h>0.23758449),*,loc_swing_range_pos_48<=0.2842384,symbol_minus_mkt_ret_1h>0.23758449,0.002259742293972522,0.002259742293972522,0.0011327308580431777,0.021294585429131985,0.1336705494340754,0.012014300823797048,1.0,1.0,0.6028084252758275,1371,,,0.04042842323553145,0.032881152085660864,0.038166903302037855,0.045714174451908424,,1.0,0.14101721675657092,2.1203282523195472,1.0,0.3071077596396208,0.06225202788588147,0.8036933019757271,0.44251158393894674,,,,,,,,,,,8.503195083168272e-05,0.0021747103431408394,4,1,1,2,2,stage_a_context,,short,2-way,True,,production,0.1242,0.14101721675657092,0.06225202788588147,0.02933049201965332,1.0,primary_target,0,,0.9514449231691777,,0.5292042122147241,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002259742293972522, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1371, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_prior_bar_pos_24<=0.15217219)|(mark_vs_perp_bps<=-0.49285206&ob_pressure_mkt_resid<=-0.0020861626&oi_1d_chg_z>-0.1226357),*,loc_prior_bar_pos_24<=0.15217219,mark_vs_perp_bps<=-0.49285206&ob_pressure_mkt_resid<=-0.0020861626&oi_1d_chg_z>-0.1226357,0.005265531130135059,0.005265531130135059,0.0008697010651262799,0.022377863060683012,0.09251285136046772,0.011073610295266654,1.0,1.0,0.6619859578736209,945,,,0.08164647811590604,0.0655317711500091,0.07708391913543441,0.09319862610133134,,1.0,0.1290313619593702,1.4961656234057712,0.75,0.22908741049468517,0.05026617308868074,0.6981359720230103,0.3567723369785885,,,,,,,,,,,9.094987334405437e-05,0.005174581256791005,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.0804,0.1290313619593702,0.05026617308868074,0.06508541107177734,0.8802056217674834,primary_target,0,,0.5180719676186192,,0.5714894138284549,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005265531130135059, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 945, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_mom_minus_basket_mom_4h<=-0.11253199&asset_ret_vs_universe_24h>-1.2606417&mark_perp_dislocation<=-0.0061685117&xasset_asset_minus_mkt_funding<=0.00000000000000000000000000000000001),*,*,asset_mom_minus_basket_mom_4h<=-0.11253199&asset_ret_vs_universe_24h>-1.2606417&mark_perp_dislocation<=-0.0061685117&xasset_asset_minus_mkt_funding<=0.00000000000000000000000000000000001,0.00652265886310488,0.00652265886310488,0.001339245589971248,0.03011045977473259,0.07197519301401693,0.012064222046422674,1.0,1.0,0.693,697,,,0.09517198935513359,0.08773236171982503,0.09782327352682221,0.10526290116213077,,1.0,0.07630180538436646,2.0386937269799397,1.0,0.1900972630828619,-0.0024633834863230005,0.6961238346993923,0.3398955708849364,,,,,,,,,,,9.253046714031068e-05,0.0064301283959645695,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.05633333333333333,0.07630180538436646,-0.0024633834863230005,-0.11489927768707275,0.5516030882242708,primary_target,0,,0.4030610808784948,,0.5717942069766577,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00652265886310488, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 697, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_swing_range_pos_24<=0.027567141)|(mark_vs_perp_bps<=1.2125646&oi_1d_chg_z>-0.37275618&price_rv_15d_robust_z>-1.57216),*,loc_swing_range_pos_24<=0.027567141,mark_vs_perp_bps<=1.2125646&oi_1d_chg_z>-0.37275618&price_rv_15d_robust_z>-1.57216,0.004821430484298617,0.004821430484298617,0.000953770576074307,0.022682021837681532,0.09003944981635559,0.013616677827116128,1.0,1.0,0.6244979919678715,975,,,0.0732724971916716,0.05445749607133932,0.07377478173700393,0.09258978285733621,,1.0,0.14558364818149822,1.6041529102330416,0.75,0.2330602314323187,0.06681845931080874,0.7614331468939781,0.06313738054918529,,,,,,,,,,,9.110001606222881e-05,0.004730330468236388,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.0718,0.14558364818149822,0.06681845931080874,0.07385790348052979,0.8406311970616893,primary_target,0,,0.5042209189715913,,0.5597741612461266,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004821430484298617, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 975, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_swing_range_pos_24<=0.32490075)|(mark_perp_dislocation<=0.0024633761&ob_pressure_mkt_resid<=-2.5011921&range_24h_pct>0.025197951),*,loc_swing_range_pos_24<=0.32490075,mark_perp_dislocation<=0.0024633761&ob_pressure_mkt_resid<=-2.5011921&range_24h_pct>0.025197951,0.0045622699544765055,0.0045622699544765055,0.0012375304120898292,0.022747693117707968,0.09096712390375535,0.004450344388649129,1.0,1.0,0.6539235412474849,874,,,0.07015528456145788,0.055765744082117645,0.07675410014989378,0.091143640629234,,1.0,0.12224609300276906,2.1399303849103357,1.0,0.24672210402786732,0.0434809041320796,0.6748122423887253,0.42084232924862397,,,,,,,,,,,9.104241298984412e-05,0.004471227541486661,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.08626666666666667,0.12224609300276906,0.0434809041320796,0.052834153175354004,0.8554739824600854,primary_target,0,,0.5094158938610299,,0.5615721969344423,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0045622699544765055, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 874, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_local_swing<=0.00060000643&loc_prior_bar_pos_48<=0.025683895)|(mark_perp_dislocation<=0.0014398461&volume_zscore_48h>0.13218188),*,dist_local_swing<=0.00060000643&loc_prior_bar_pos_48<=0.025683895,mark_perp_dislocation<=0.0014398461&volume_zscore_48h>0.13218188,0.005093878018669784,0.005093878018669784,0.00048053725675906286,0.021373229566961527,0.08127122029832845,0.004409722099439041,1.0,1.0,0.7344064386317908,685,,,0.06643651928860207,0.05973350508474502,0.06630086839418392,0.07300388259804097,,1.0,0.12449361251128549,2.180564441537054,1.0,0.25473412312567234,0.04572842364059601,0.7769777625799179,0.382854371399106,,,,,,,,,,,9.17209855567776e-05,0.005002157033113006,4,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.077,0.12449361251128549,0.04572842364059601,0.06629085540771484,0.7003395247732551,primary_target,0,,0.45511883367063927,,0.574996239000605,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005093878018669784, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 685, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_local_swing<=0.003329996&loc_prior_bar_pos_48<=0.66667002)|(symbol_minus_mkt_ret_1h>0.40535116),*,dist_local_swing<=0.003329996&loc_prior_bar_pos_48<=0.66667002,symbol_minus_mkt_ret_1h>0.40535116,0.003072999978030566,0.003072999978030566,0.0018773950540576405,0.02265546191483736,0.09636604827224346,0.017626699643926557,1.0,1.0,0.6716867469879518,1005,,,0.04655393417678932,0.034945779431282686,0.052803654755137,0.06441180950064362,,1.0,0.15083409054087288,2.362918962566109,1.0,0.31427264399826527,0.0720689016701834,0.9130964949727058,0.415683679159528,,,,,,,,,,,7.057393223408324e-05,0.003002426045796483,4,1,1,3,3,stage_a_context,,short,3-way,True,,production,0.07533333333333334,0.15083409054087288,0.0720689016701834,-0.023938417434692383,0.9418567723558953,primary_target,0,,0.5396498703245634,,0.5360890945238732,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003072999978030566, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1005, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
