canonical_key,display_arity,structural_depth,groups_used,regime_families_used
(*)|(loc_dist_ema20_atr_ts_bot30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band40_60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band20_80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot40==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot40==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot40==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot70==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band20_80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top70==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot50==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band30_70==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top40==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot70==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_bot30==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band40_60==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top80==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top20==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema20_atr_ts_top80==1)|(*),1,1,location,
