canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top40==0),d7278431f401,0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,0
(*)|(loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top40==0),d7278431f401,0,42,26,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,0
(*)|(loc_dist_ema20_atr_ts_top20==1)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top40==0),d7278431f401,0,42,1,loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,context,1
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0),e25ca837bada,0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,0
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0),e25ca837bada,0,42,26,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,1
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0),e25ca837bada,0,42,2,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,1
(*)|(*)|(reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top40==1),e44ea5c5ef5c,0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,1
(*)|(*)|(reg_atr_change_rate_ts_bot80==0&reg_atr_change_rate_ts_top40==1),e44ea5c5ef5c,0,42,22,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,0
(*)|(*)|(reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0),b80bc1522e3b,0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,1
(*)|(*)|(reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0),b80bc1522e3b,0,42,22,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,1
(*)|(*)|(reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==0),b80bc1522e3b,0,42,10,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,0
(*)|(loc_dist_ema20_atr_ts_top60==0)|(reg_atr_change_rate_ts_bot80==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top50==1),72005fe20b5a,0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,1
