canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(asset_atr_level_pct<=0.23940237&mark_perp_dislocation>-0.0062294384&ob_imbalance_mkt_resid<=-2.5008941),*,*,asset_atr_level_pct<=0.23940237&mark_perp_dislocation>-0.0062294384&ob_imbalance_mkt_resid<=-2.5008941,0.0051888099405914545,0.0051888099405914545,0.0021340167936655485,0.017726501915603876,0.11481104115133799,0.020912139627992668,1.0,1.0,0.604,1057,,,0.0776374412614043,0.0682423422851722,0.08516554422072348,0.09456064319695559,,1.0,0.14974398531240607,1.7066407450299057,0.75,0.30006243847310543,0.00046273133330472505,0.6224073097109795,0.3851375454777296,,,,,,,,,,,7.00726704176938e-05,0.005118737270173761,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.07953333333333333,0.14974398531240607,0.00046273133330472505,-0.1652054414153099,1.0,primary_target,0,,0.9429418304474926,,0.6146480035054704,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0051888099405914545, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1057, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>-0.004296869&ob_pressure_mkt_resid<=-0.0021142077&oi_trend_10d_robust_z>-0.0057249288),*,*,mark_perp_dislocation>-0.004296869&ob_pressure_mkt_resid<=-0.0021142077&oi_trend_10d_robust_z>-0.0057249288,0.00521327112801373,0.00521327112801373,0.002000468897873619,0.02059773402288556,0.12382822502061315,0.01333182660812773,1.0,1.0,0.6452905811623246,1025,,,0.07883910138684255,0.07105526823087191,0.07441819991424992,0.08220203307022057,,1.0,0.15733930380567407,4.598175044236565,1.0,0.22006845846772194,0.008058049826572714,0.69903664290905,0.4297946384916013,,,,,,,,,,,7.000096113962162e-05,0.005143270166874108,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.10653333333333333,0.15733930380567407,0.008058049826572714,-0.13013404607772827,1.0,primary_target,0,,0.9934380601154336,,0.6241305963146728,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00521327112801373, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1025, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_local_swing<=0.0049999356&dist_rolling_7d_high<=0.10990277)|(mark_vs_perp_bps>1.4980861&range_per_funding_abs_z_24h<=0.2629844&volume_percentile<=1.329754),*,dist_local_swing<=0.0049999356&dist_rolling_7d_high<=0.10990277,mark_vs_perp_bps>1.4980861&range_per_funding_abs_z_24h<=0.2629844&volume_percentile<=1.329754,0.005093126557767391,0.005093126557767391,0.002101280592884451,0.020332627464085817,0.11928396671913649,0.023141014943439116,1.0,1.0,0.6776776776776777,992,,,0.08428528200123746,0.07335764096638471,0.07797820738249295,0.0889058484173457,,1.0,0.14901782202976108,2.1742227819899935,1.0,0.2077587265521288,-0.000263431949340278,0.6251394301652908,0.13822011338511994,,,,,,,,,,,9.002940573282116e-05,0.0050030971520345704,4,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.09326666666666666,0.14901782202976108,-0.000263431949340278,-0.09574103355407715,1.0,primary_target,0,,0.9679902136271643,,0.6082584844893018,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005093126557767391, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 992, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_range_mid_atr>-0.0010816898&dist_rolling_7d_high<=0.15351598)|(log_oi_to_volume_7d<=1.8291826&mark_vs_perp_bps>-1.6294581&symbol_minus_mkt_ret_4h<=0.034545992),*,dist_range_mid_atr>-0.0010816898&dist_rolling_7d_high<=0.15351598,log_oi_to_volume_7d<=1.8291826&mark_vs_perp_bps>-1.6294581&symbol_minus_mkt_ret_4h<=0.034545992,0.0043041644094046205,0.0043041644094046205,0.0022701850906444577,0.01785472617484629,0.11620689228693502,0.008823532604598757,1.0,1.0,0.651,927,,,0.07778528232711332,0.0653315757350315,0.08213814338144104,0.09459184997352285,,1.0,0.1487305604918537,3.2037628569131273,1.0,0.1934293839149177,-0.0005506934872476429,0.6035644263029099,0.3092499037773804,,,,,,,,,,,9.006958686892822e-05,0.004214094822535692,4,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.10422756914774005,0.1487305604918537,-0.0005506934872476429,-0.07103411108255386,1.0,primary_target,0,,0.9507585968068362,,0.5915524549918734,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0043041644094046205, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 927, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_local_swing<=0.0011310009&dist_rolling_7d_high<=0.11638818)|(excess_6h_ts_resid>-0.88047832&mark_vs_perp_bps>-1.2742661&oi_chg_2h<=0.12114758&oi_rank>0.046130955),*,dist_local_swing<=0.0011310009&dist_rolling_7d_high<=0.11638818,excess_6h_ts_resid>-0.88047832&mark_vs_perp_bps>-1.2742661&oi_chg_2h<=0.12114758&oi_rank>0.046130955,0.004998083401005715,0.004998083401005715,0.0018012876041630147,0.019208793062716722,0.11779004947155386,0.019877801153475094,1.0,1.0,0.711,809,,,0.08380597394801886,0.06456478218206883,0.07824077957176978,0.0974819713377198,,1.0,0.15450858450266192,2.2760358965149226,1.0,0.19718896364793181,0.005227330523560565,0.5768235940486193,0.2370618946521684,,,,,,,,,,,9.004678504796038e-05,0.004908036615957755,4,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.09096019788621543,0.15450858450266192,0.005227330523560565,-0.09689221531152725,1.0,primary_target,0,,0.9596242770407015,,0.6027982934390426,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004998083401005715, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 809, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(ob_imbalance_mkt_resid<=-0.0014901161&price_trend_7d_vol_norm>-0.12891766&symbol_minus_mkt_ret_4h<=-0.17224023),*,*,ob_imbalance_mkt_resid<=-0.0014901161&price_trend_7d_vol_norm>-0.12891766&symbol_minus_mkt_ret_4h<=-0.17224023,0.003393084683921188,0.003393084683921188,0.002250896916153332,0.018428796902298927,0.1343197211603328,0.012094177687688092,1.0,1.0,0.6666666666666666,1100,,,0.06162780588825772,0.04400174835341671,0.051585985615362005,0.06921204315020302,,1.0,0.14850568853252682,8.722858436316125,1.0,0.2410631701350212,-0.0007755654465745471,0.698867954313755,0.4915139326629851,,,,,,,,,,,7.003040002087721e-05,0.003323054283900311,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.1226,0.14850568853252682,-0.0007755654465745471,-0.13215875625610352,1.0,primary_target,0,,0.9478095615021362,,0.591150254772695,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003393084683921188, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1100, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_local_swing<=0.00067050103)|(funding_per_hour>-0.000007940951&mark_perp_dislocation>-0.0079083936&symbol_minus_mkt_ret_1h<=0.41521773),*,dist_local_swing<=0.00067050103,funding_per_hour>-0.000007940951&mark_perp_dislocation>-0.0079083936&symbol_minus_mkt_ret_1h<=0.41521773,0.0031525344238616526,0.0031525344238616526,0.0011345589427806766,0.01957580796442926,0.13036350348549586,0.02660564505107834,1.0,1.0,0.672,1098,,,0.05315497537070632,0.037946433856830664,0.0487536915553798,0.06396223306925547,,1.0,0.1482608228482532,5.998677728153708,1.0,0.2725176252424717,-0.0010204311308481817,0.5703998282551765,0.29748801400381514,,,,,,,,,,,9.001294522633753e-05,0.003062521478635315,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08973333333333333,0.1482608228482532,-0.0010204311308481817,-0.060699768364429474,1.0,primary_target,0,,0.9699643804812232,,0.5793096913917514,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0031525344238616526, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1098, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.0085914414&oi_chg_8h_mkt_resid<=-0.14187168),*,*,mark_perp_dislocation>0.0085914414&oi_chg_8h_mkt_resid<=-0.14187168,0.007063964614644647,0.007063964614644647,0.0009732197653865618,0.020790505222976208,0.07965006371336482,0.02060519637935858,1.0,1.0,0.6167002012072434,705,,,0.0880919137275561,0.07915323057902701,0.08468733469019671,0.0936260178387258,,1.0,0.18860350295438216,6.414678284281684,1.0,0.17371887154877186,0.0393222489752808,0.5663319453597069,0.3480913381355605,,,,,,,,,,,8.67481242130216e-05,0.006977216490431625,4,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.06186666666666667,0.18860350295438216,0.0393222489752808,-0.018874384462833405,0.674401019413837,primary_target,0,,0.44604035679484294,,0.5828201097616658,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.007063964614644647, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 705, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_mom_minus_basket_mom_24h<=-0.81352943&mark_perp_dislocation>-0.0078645665&oi_chg_2h>-0.07842657&oi_trend_10d_robust_z>-0.72240132&path_efficiency_24_ts_resid>-0.22158186),*,*,asset_mom_minus_basket_mom_24h<=-0.81352943&mark_perp_dislocation>-0.0078645665&oi_chg_2h>-0.07842657&oi_trend_10d_robust_z>-0.72240132&path_efficiency_24_ts_resid>-0.22158186,0.003077209723414853,0.003077209723414853,0.0022331666392386303,0.020507283974438906,0.16428829173225395,0.023333160230162398,1.0,1.0,0.6726726726726727,1240,,,0.054359664492907696,0.046851133634541166,0.058327254874815715,0.06583578573318224,,1.0,0.15822897294050764,11.313635378374318,1.0,0.24917521327733994,0.008947718961406292,0.697972871363163,0.46659373513861313,,,,,,,,,,,9.069460644025742e-05,0.0029865151169745957,4,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.1394198335956825,0.15822897294050764,0.008947718961406292,-0.07232926785945892,0.7713873322839369,primary_target,0,,0.47998556629937783,,0.5190103650026267,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003077209723414853, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1240, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.015551693&ob_pressure_mkt_resid<=0.00011175343&symbol_minus_mkt_ret_1h<=0.29082763),*,*,mark_perp_dislocation>0.015551693&ob_pressure_mkt_resid<=0.00011175343&symbol_minus_mkt_ret_1h<=0.29082763,0.00916057440917939,0.00916057440917939,0.002049246541977908,0.02437486546114087,0.07112052694700548,0.024728177848259945,1.0,1.0,0.6318956870611836,599,,,0.08592172406607537,0.07804442837339817,0.08177863399758141,0.0896559296902586,,1.0,0.21881178524347134,2.716838612302544,1.0,0.31735265254974365,0.06953053126436998,0.6082937233150005,0.28873189743156297,,,,,,,,,,,7.203209833152786e-05,0.009088542310847861,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.05193333333333333,0.21881178524347134,0.06953053126436998,0.00998137891292572,0.5379284311520875,primary_target,0,,0.3982749509032307,,0.5789345829728537,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00916057440917939, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 599, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(funding_1d_chg_ts_resid<=0.80551898&mark_perp_dislocation>0.0092710685&oi_trend_15d_robust_z>-0.15759858),*,*,funding_1d_chg_ts_resid<=0.80551898&mark_perp_dislocation>0.0092710685&oi_trend_15d_robust_z>-0.15759858,0.006723448634147644,0.006723448634147644,0.001790309881743591,0.023475931957364082,0.06562656847312795,0.023639484879177563,1.0,1.0,0.6369107321965898,483,,,0.07508939855188466,0.05945453840182589,0.07086673722859127,0.08650159737865004,,1.0,0.1635012024577589,2.7586432190471415,1.0,0.21910985562135465,0.014219948478657561,0.4575604349374771,0.3246895442184226,,,,,,,,,,,7.246764305989331e-05,0.006650980991087751,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.046933333333333334,0.1635012024577589,0.014219948478657561,-0.028834618628025055,0.45002509557004716,primary_target,0,,0.3675087834495165,,0.569674755001195,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006723448634147644, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 483, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(log_oi_to_volume_7d<=1.8682963&log_oi_to_volume_7d>0.44651386&oi_1d_chg_z>-0.22721922&symbol_minus_mkt_ret_4h<=-0.1029353),*,*,log_oi_to_volume_7d<=1.8682963&log_oi_to_volume_7d>0.44651386&oi_1d_chg_z>-0.22721922&symbol_minus_mkt_ret_4h<=-0.1029353,0.002879780251532793,0.002879780251532793,0.0017219398763782378,0.017907189205288887,0.13358967843489994,0.020934556796804428,1.0,1.0,0.646,1412,,,0.056788886721466356,0.05103870189443037,0.05997991492830909,0.06573009975534508,,1.0,0.19183964858890867,5.651836491308925,1.0,0.3586365468800068,0.0425583946098073,0.8493870496749878,0.5384454863688813,,,,,,,,,,,9.003320215902674e-05,0.0027897470493737663,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.10546666666666667,0.19183964858890867,0.0425583946098073,-0.09668999165296555,1.0,primary_target,0,,0.9518978007645602,,0.5662834085409936,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002879780251532793, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1412, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_initial_balance_pos_48>0.20241867&loc_prior_bar_pos_48>-0.60346729)|(asset_minus_universe_median_ret_4h<=0.40356937&log_oi_to_volume_7d<=1.6217933&symbol_minus_mkt_ret_1h<=0.082386531),*,loc_initial_balance_pos_48>0.20241867&loc_prior_bar_pos_48>-0.60346729,asset_minus_universe_median_ret_4h<=0.40356937&log_oi_to_volume_7d<=1.6217933&symbol_minus_mkt_ret_1h<=0.082386531,0.0028382037271512672,0.0028382037271512672,0.0016857078455115304,0.017506449716165662,0.11111013042500562,0.013342949424000897,1.0,1.0,0.6076076076076076,920,,,0.05140091530970011,0.03715611419047155,0.05613445303596597,0.07037925415519453,,1.0,0.15565603361112462,4.415289435410661,1.0,0.28037392534315586,0.00637477963202325,0.6839786097407341,0.45301287652753264,,,,,,,,,,,9.017363562912933e-05,0.002748030091522138,4,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.09593333333333333,0.15565603361112462,0.00637477963202325,-0.031094849109649658,1.0,primary_target,0,,0.9222167303800315,,0.5457049273617584,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0028382037271512672, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 920, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_prior_day_low<=0.046086524)|(asset_minus_mkt_oi_1d_z_90d<=0.51874751&dist_ema_fast_mkt_resid>-0.001078919&log_oi_to_volume_1d<=39.69902&mark_perp_dislocation>-0.0070035965&ret4h_bench_resid<=-4.5675039),*,dist_prior_day_low<=0.046086524,asset_minus_mkt_oi_1d_z_90d<=0.51874751&dist_ema_fast_mkt_resid>-0.001078919&log_oi_to_volume_1d<=39.69902&mark_perp_dislocation>-0.0070035965&ret4h_bench_resid<=-4.5675039,0.0027409540925873443,0.0027409540925873443,0.001987985303001956,0.01837232569232583,0.12038768083352072,0.027539306560605693,1.0,1.0,0.6,1020,,,0.04878039289404795,0.026385296979930025,0.05569657567979767,0.0780916715939156,,0.75,0.16759502049157804,4.436302835976646,1.0,0.28944771364331245,0.01831376651247668,0.7896273583173752,0.6369185487910257,,,,,,,,,,,9.001914613928413e-05,0.0026509349464480603,4,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.09333333333333334,0.16759502049157804,0.01831376651247668,-0.08474870026111603,1.0,primary_target,0,,0.9741710126677159,,0.5354341255891335,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0027409540925873443, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1020, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_minus_universe_median_ret_48h<=1.2918354&asset_vol_level_pct<=0.44701183&cs_rank_ret_24h<=0.84688646&mark_vs_perp_bps>0.040005066&price_trend_15d_vol_norm>-0.028490672),*,*,asset_minus_universe_median_ret_48h<=1.2918354&asset_vol_level_pct<=0.44701183&cs_rank_ret_24h<=0.84688646&mark_vs_perp_bps>0.040005066&price_trend_15d_vol_norm>-0.028490672,0.003890323205268942,0.003890323205268942,0.0034858760269742967,0.020524790976196527,0.09881097743797317,0.049126721086935665,1.0,1.0,0.6182364729458918,352,,,0.059817165377513956,0.02595664919512515,0.046625672821010426,0.08048618900339922,,1.0,0.1621771434227915,4.045665072820679,1.0,0.3491958975791931,0.012895889443690123,0.8090241104364395,0.3684029248789157,,,,,,,,,,,9.061727841247892e-05,0.0037997059268564627,4,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.039577243085226,0.1621771434227915,0.012895889443690123,-0.07604528218507767,0.9809756390075706,primary_target,0,,0.5533414736526497,,0.5428554669844755,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003890323205268942, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 352, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
