canonical_key,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,dominant_parent_key,dominated_by_parent,preset
(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_bollinger_band_width_ts_bot20==1&reg_compression_score_ts_top60==1),0.008777175890281796,0.008777175890281796,0.0048184197351034954,0.041203859448432925,0.036136109126471375,0.018717667738103825,1.0,1.0,1.0,25,,,0.05506018910931783,0.05233914615359871,0.06250215891004277,0.06973469444439367,,0.8,0.001660496285135353,0.00036823693364748596,0.00840893895663431,5,1,1,3,3,stage_a_context,,short,3-way,True,,,False,production
Composite((*)|(LOC_46_AtRangeBreakdownZone_Short==0)|(reg_price_lt_ema200_ts_bot20==1))_OR_((*)|(LOC_95_AbovePrevDayMid==1)|(reg_bollinger_band_width_ts_band25_75==0&reg_price_lt_ema200_ts_top20==0)),0.003819580469280481,0.003819580469280481,0.002915396997478744,0.02950262650847435,0.13879991791192253,0.05317847411432428,1.0,1.0,1.0,54,,,0.05693522939528669,0.050015968019244114,0.05191097263353739,0.057174587157737294,,1.0,0.0014188809891799805,0.0001878899000434978,0.0036316905692369834,5,2,2,3,5,composite,,short,composite,True,,,,
(*)|(*)|(reg_price_lt_ema200_ts_top20==0&reg_return_autocorr_48_ts_top80==0&reg_volatility_autocorr_48_ts_bot70==1),0.0045793162193149325,0.0045793162193149325,0.0020501458062192556,0.028501401469111443,0.08977712073534702,0.034748911110786235,1.0,1.0,1.0,40,,,0.0562719849518198,0.05062742703638414,0.05526074943059653,0.06715717316437332,,1.0,0.0013692855186652815,0.00023362278862289293,0.00434569343069204,5,1,1,3,3,stage_a_context,,short,3-way,True,,,False,production
(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_price_lt_ema200_ts_top20==0&reg_volume_zscore_48h_ts_band40_60==0),0.004836024693213403,0.004836024693213403,0.004361150044200807,0.030591221898794173,0.07974844057988639,0.02442802889513411,1.0,1.0,1.0,45,,,0.05332724415424911,0.028557529112046863,0.05090890500994285,0.056832995658522636,,1.0,0.00135975199349142,0.0002478774046203156,0.004588147288593088,5,1,1,3,3,stage_a_context,,short,3-way,True,,,False,production
(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_atr_change_rate_ts_band20_80==0&reg_bollinger_band_width_ts_bot50==1&reg_compression_score_ts_top70==1&reg_return_autocorr_48_ts_top60==0),0.010961515922099352,0.010961515922099352,0.009107182593273248,0.045009241253137586,0.022763986642952334,0.01280411131703818,1.0,1.0,0.8,12,,,0.051251102225945,0.027324770634168126,0.028024164000918148,0.091041808255894,,1.0,0.0013111351777992807,0.0005965108512055428,0.010365005070893808,5,1,1,5,5,stage_a_context,,short,5-way,True,,,False,production
(*)|(LOC_170_NotTooExtendedAboveEMA==0)|(reg_atr_change_rate_ts_band40_60==0&reg_bollinger_band_width_ts_band30_70==0&reg_compression_score_ts_bot60==0&reg_ema20_gt_ema50_ts_top20==1&reg_return_autocorr_48_ts_top40==1),0.006464184587821364,0.006464184587821364,0.0021646871930678367,0.034410664811730385,0.04027547644021505,0.010145373715032522,1.0,1.0,1.0,35,,,0.04893108765733254,0.03430685597102343,0.043867805894804116,0.06767265922076517,,1.0,0.0012944789633758194,0.00044845840310012337,0.006015726184721241,5,1,1,6,6,stage_a_context,,short,6-way,True,,,False,production
(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_compression_score_ts_bot60==0&reg_ema50_gt_ema200_ts_band30_70==1&reg_volume_autocorr_48_ts_band25_75==1),0.008209923096001149,0.008209923096001149,0.005710708222547725,0.02757811900228262,0.02499417275993291,0.012332590955311815,1.0,1.0,1.0,16,,,0.05617003727978237,0.03247511114254551,0.038487582800415476,0.08605212398944413,,1.0,0.0012905813902001993,0.0005692763288935707,0.007640646767107578,5,1,1,5,5,stage_a_context,,short,5-way,True,,,False,production
(*)|(LOC_01_AboveEMA==1)|(reg_bollinger_band_width_ts_top70==0&reg_price_lt_ema200_ts_bot20==1),0.004722623457200825,0.004722623457200825,0.005414189711359982,0.02857970669865608,0.08468246608799639,0.02576375896169897,1.0,1.0,0.8,48,,,0.049409333092534556,0.023750943539556344,0.027231842438095066,0.09584180904739979,,0.8,0.0010935157562639004,0.0002405477458778452,0.00448207571132298,5,1,1,3,3,stage_a_context,,short,3-way,True,,,False,production
(*)|(LOC_70_AboveSessionOpen==1)|(reg_bollinger_band_width_ts_band40_60==0&reg_price_lt_ema200_ts_top20==0&reg_volume_zscore_48h_ts_top20==1),0.004395777033641935,0.004395777033641935,0.0017095487865297883,0.02998361401259899,0.05618979574256773,0.021391755959091957,1.0,1.0,1.0,23,,,0.05225017567697869,0.04354632922246116,0.0544419029594133,0.06523790771436412,,1.0,0.0010402136984347225,0.0003796765571288094,0.004016100476513126,5,1,1,4,4,stage_a_context,,short,4-way,True,,,False,production
(*)|(LOC_21_BelowVWAP==1)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),0.0058118717046454545,0.0058118717046454545,0.006665182662433035,0.025313229113817216,0.04854800379023962,0.02474013150826002,1.0,1.0,0.8,14,,,0.03698918807487815,0.020558370219179,0.03050723579083793,0.05540384132001413,,0.8,0.001017669236760045,0.0003176964422904322,0.005494175262355023,5,1,1,3,3,stage_a_context,,short,3-way,True,,(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),True,production
