feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
bars_since_ema20_ema50_cross_log_norm,regime,bars_since_ema20_ema50_cross_log_norm,trend,0,0,0,False,False,False
dist_ema20_atr,location,dist_ema20_atr,context,7,17,0,True,True,False
bars_outside_ema20_atr_band_log_norm,regime,bars_outside_ema20_atr_band_log_norm,volatility,0,0,0,False,False,False
dist_ema50_atr,location,dist_ema50_atr,context,7,25,0,True,True,False
up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,25,85,0,True,True,False
dist_ema200_atr,location,dist_ema200_atr,context,14,54,0,True,True,False
up_down_return_mass_ratio_tanh,regime,up_down_return_mass_ratio_tanh,path_structure,24,119,0,True,True,False
dist_vwap_atr,location,dist_vwap_atr,context,25,94,0,True,True,False
tail_asymmetry_q90_q10_atr_norm,regime,tail_asymmetry_q90_q10_atr_norm,path_structure,18,57,0,True,True,False
dist_weekly_vwap,location,dist_weekly_vwap,context,34,173,0,True,True,False
amihud_illiq,regime,amihud_illiq,liquidity,28,76,0,True,True,False
dist_prior_day_high,location,dist_prior_day_high,context,34,209,0,True,True,False
amihud_z,regime,amihud_z,liquidity,0,0,0,False,False,False
dist_prior_day_low,location,dist_prior_day_low,context,23,98,0,True,True,False
atr_compression_ratio,regime,atr_compression_ratio,volatility_term_structure,23,70,0,True,True,False
dist_rolling_7d_high,location,dist_rolling_7d_high,context,52,208,0,True,True,False
atr_percentile,regime,atr_percentile,compression,30,82,0,True,True,False
dist_local_swing,location,dist_local_swing,context,4,10,0,True,True,False
basis_mom_2h,regime,basis_mom_2h,basis,0,0,0,False,False,False
dist_range_mid_atr,location,dist_range_mid_atr,context,4,8,0,True,True,False
basis_mom_4h,regime,basis_mom_4h,basis,0,0,0,False,False,False
dist_ma100_atr,location,dist_ma100_atr,context,11,23,0,True,True,False
basis_mom_8h,regime,basis_mom_8h,basis,0,0,0,False,False,False
distance_to_ema,location,distance_to_ema,context,9,22,0,True,True,False
basis_mom_w,regime,basis_mom_w,basis,0,0,0,False,False,False
pullback_depth,location,pullback_depth,context,10,25,0,True,True,False
basis_pct,regime,basis_pct,basis,24,52,0,True,True,False
zscore_price_50,location,zscore_price_50,context,18,49,0,True,True,False
basis_pct_z,regime,basis_pct_z,basis,1,2,0,True,True,False
zscore_price_200,location,zscore_price_200,context,24,96,0,True,True,False
basis_stretch,regime,basis_stretch,basis,4,7,0,True,True,False
loc_ema_stack_pos_24,location,loc_ema_stack_pos_24,trend,17,74,0,True,True,False
basis_vol,regime,basis_vol,basis,16,32,0,True,True,False
loc_ema_stack_pos_48,location,loc_ema_stack_pos_48,trend,12,29,0,True,True,False
bollinger_band_width,regime,bollinger_band_width,compression,8,19,0,True,True,False
loc_vwap_dev_z_24,location,loc_vwap_dev_z_24,liquidity,18,86,0,True,True,False
choppiness_index_20,regime,choppiness_index_20,path_structure,14,32,0,True,True,False
loc_vwap_dev_z_48,location,loc_vwap_dev_z_48,liquidity,18,57,0,True,True,False
coherence_24,regime,coherence_24,path_structure,0,0,0,False,False,False
loc_range_pos_24,location,loc_range_pos_24,context,7,18,0,True,True,False
compression_ratio,regime,compression_ratio,volatility_term_structure,28,75,0,True,True,False
