generated_boolean,group,source_feature,support,support_pct,usable_support,nan_rate_before,nan_rate_ts
loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot20,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top30,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot40,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top50,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot50,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top60,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot60,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top70,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_top80,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_bot80,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_band20_80,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_band25_75,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_band30_70,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema20_atr_ts_band40_60,location,dist_ema20_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top20,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot20,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top30,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot30,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top40,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot40,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top50,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot50,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top60,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot60,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top70,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot70,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_top80,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_bot80,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_band20_80,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_band30_70,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema50_atr_ts_band40_60,location,dist_ema50_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top20,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot20,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top30,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot30,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top40,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot40,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top50,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot50,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top60,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot60,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top70,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_bot70,location,dist_ema200_atr,0,0.0,0,0.0,1.0
loc_dist_ema200_atr_ts_top80,location,dist_ema200_atr,0,0.0,0,0.0,1.0
