canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,is_too_narrow,is_too_broad,comp_bonus,pruner_rank_score,cheap_rank,step1_bucket_side,step1_bucket_horizon
(*)|(*)|(mkt_ret_eq_24h<=-0.97991306&rv_24h>0.33297983),*,*,mkt_ret_eq_24h<=-0.97991306&rv_24h>0.33297983,-0.00036714834277518094,0.00036714834277518094,0.005417318460168102,0.022585579426959157,0.07156666666666667,0.018148431214723648,0.8,0.8,0.5225225225225225,709,,,-0.010456911334189474,-0.05121990675934695,0.00011775977849765723,0.04088075520365514,,0.5,0.12161132919254775,1.1151687087856874,0.75,0.2012215401045978,0.026074513145396765,1.1016396302729845,0.05525228077381543,0.3796526699606678,3.1250000000000013e-07,0.0014139594371394013,0.01,0.01,0.01,0.01,0.01,0.003653527066306457,,8.742685294444444e-05,-0.0004545751957196254,4,1,1,2,2,stage_a_context,,short,2-way,True,,production,0.12161132919254775,0.026074513145396765,0.2538032978773117,0.5450666666666666,primary_target,0,0.003653527066306457,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 0.8, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00036714834277518094, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 709, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1150618953075373,False,False,0.15,1.1150618953075373,1.1150618953075373,short,0
(*)|(dist_prior_day_high<=0.01829784&loc_pullback_depth_24<=0.25714302)|(mkt_ret_eq_24h>-0.97991306&xasset_mkt_depth_z<=0.1152683),*,dist_prior_day_high<=0.01829784&loc_pullback_depth_24<=0.25714302,mkt_ret_eq_24h>-0.97991306&xasset_mkt_depth_z<=0.1152683,-0.0004948672198224813,0.0004948672198224813,0.0025194293409161253,0.019043606519699097,0.10946666666666667,0.025581416866328748,1.0,1.0,0.5491967871485943,1160,,,0.0067004252458762684,-0.005107353165613816,0.008269589626395686,0.011334678532127268,,0.6,0.0012261620030917602,0.032381457838117196,0.6,0.04398561120033264,-0.09964891036753863,0.6876573443412781,0.05068052687864037,0.008072138222209447,3.1250000000000013e-07,0.001664223997253897,0.01,0.01,0.01,0.01,0.01,0.0010801183997387364,,9.021715600000001e-05,-0.0005850843758224812,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.0012261620030917602,-0.09964891036753863,0.006191635131835937,1.0,primary_target,0,0.0010801183997387364,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0004948672198224813, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1160, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1146637040085434,False,False,0.1,1.1146637040085434,1.1146637040085434,short,0
(*)|(dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754)|(atr_compression_ratio>-0.28924492&direction_entropy_20<=0.6408987&range_24h_pct>0.057320416&rv_24h>-0.22294158),*,dist_weekly_vwap<=0.078731477&loc_ema_stack_pos_48>-0.53202754,atr_compression_ratio>-0.28924492&direction_entropy_20<=0.6408987&range_24h_pct>0.057320416&rv_24h>-0.22294158,-0.0007125207339413464,0.0007125207339413464,0.0009463755503319886,0.023645472899079322,0.10533333333333332,0.027923291751192632,1.0,1.0,0.5352822580645161,1038,,,0.0026420661193972987,-0.0144167422059861,-0.00917679972627164,0.020270477637667227,,0.4,0.0847249431370092,2.2462770570439012,0.8,0.20191501565277575,-0.01615012923362119,0.8516421437263488,0.2942252370641065,0.03185821176679217,3.1250000000000013e-07,0.0017905938023912926,0.01,0.01,0.01,0.01,0.01,0.001861597486303475,,9.03481e-05,-0.0008028688339413464,5,1,1,6,6,stage_a_context,,short,6-way,True,,production,0.0847249431370092,-0.01615012923362119,0.0860026240348816,1.0,primary_target,0,0.001861597486303475,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007125207339413464, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1038, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1145213768728197,False,False,0.1,1.1145213768728197,1.1145213768728197,short,0
(*)|(loc_pullback_depth_24>0.25714302)|(choppiness_index_20>0.056800433&cs_rank_ret_24h<=0.73677701&mkt_ret_eq_24h>-0.97991306&realized_volatility_24h<=1.3228762),*,loc_pullback_depth_24>0.25714302,choppiness_index_20>0.056800433&cs_rank_ret_24h<=0.73677701&mkt_ret_eq_24h>-0.97991306&realized_volatility_24h<=1.3228762,-0.0006461524637416006,0.0006461524637416006,0.0014492844008778293,0.02010138928890228,0.1842,0.015361134217382664,1.0,1.0,0.6412060301507537,2484,,,-0.007513813970887675,-0.009803258257109928,-0.006008018965330751,0.008695793346424844,,0.4,0.07536987050253038,1.9811685237498877,0.8,0.16826772689819336,-0.025505201868100014,3.137179362773895,0.1840068001472322,0.028913276080836672,3.1250000000000013e-07,0.0016166845238952204,0.01,0.01,0.01,0.01,0.01,0.0016923859953018635,,9.157708800000001e-05,-0.0007377295517416006,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.07536987050253038,-0.025505201868100014,-0.03239985704421997,0.4528000000000001,primary_target,0,0.0016923859953018635,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006461524637416006, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2484, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.11451029217348,False,False,0.1,1.11451029217348,1.11451029217348,short,0
(*)|(dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24>0.38672823)|(atr_compression_ratio>-0.62282997&range_24h_pct<=0.072392464),*,dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24>0.38672823,atr_compression_ratio>-0.62282997&range_24h_pct<=0.072392464,-0.0012939117790665478,0.0012939117790665478,0.002262324079580209,0.019123158790171145,0.13672,0.03844278634831536,1.0,1.0,0.5558912386706949,1260,,,-0.011466751939854088,-0.053822119138564495,0.0015661190068521128,0.006934003651808929,,0.6,-0.01702285584363012,-0.4718622341829537,0.6,-0.024847930669784545,-0.11789792821426048,0.11827423572540283,0.24306038550510492,0.00021430721874930695,3.1250000000000013e-07,0.001612502930088387,0.01,0.01,0.01,0.01,0.01,0.0003612633266007631,,9.006181128000001e-05,-0.0013839735903465478,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,-0.01702285584363012,-0.11789792821426048,0.02927703857421875,1.0,primary_target,0,0.0003612633266007631,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0012939117790665478, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1260, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1121245355694331,False,False,0.1,1.1121245355694331,1.1121245355694331,short,0
(*)|(dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24<=0.38672823&zscore_price_200<=-0.96760732)|(atr_compression_ratio>-0.62282997),*,dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24<=0.38672823&zscore_price_200<=-0.96760732,atr_compression_ratio>-0.62282997,0.0006283843045821414,0.0006283843045821414,0.0012322727811841258,0.019683946296572684,0.10850666666666667,0.04694273769415481,1.0,1.0,0.5120481927710844,630,,,0.006390026908999589,0.006006741545135002,0.01479171145193258,0.015912687786179408,,0.8,0.02160251774687694,0.5529889715383023,0.6,0.03202798143029213,-0.07927255462375346,0.7227109432220459,0.09872857209981578,0.014157204984808923,3.1250000000000013e-07,0.0012387934379222596,0.01,0.01,0.01,0.01,0.01,0.0013570267688564426,,9.024482704000001e-05,0.0005381394775421413,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.02160251774687694,-0.07927255462375346,0.08484880924224854,1.0,primary_target,0,0.0013570267688564426,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006283843045821414, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 630, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1116139151489002,False,False,0.1,1.1116139151489002,1.1116139151489002,short,0
(*)|(bars_in_high_vol_state_log_norm>-0.23181595&dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24<=0.38672823&zscore_price_200>-0.96760732)|(atr_compression_ratio>-0.62282997),*,bars_in_high_vol_state_log_norm>-0.23181595&dist_rolling_7d_high<=0.24105695&loc_ema_stack_pos_24<=0.38672823&zscore_price_200>-0.96760732,atr_compression_ratio>-0.62282997,0.0005970700192847289,0.0005970700192847289,0.0020479395509569467,0.021687719225883483,0.1696666666666667,0.07957564116403125,1.0,1.0,0.5150905432595574,1264,,,0.020320384580003015,0.014906973057772811,0.01518615958853829,0.026812929893298594,,0.8,0.09782917680381967,2.923704613394654,0.8,0.2143525623716414,-0.0030458955668107137,2.1617591857910154,0.2026100158584958,0.355775511340264,3.1250000000000013e-07,0.0010355420493796126,0.01,0.01,0.01,0.01,0.01,0.00400412546283536,,9.089780000000001e-05,0.0005061722192847289,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,0.09782917680381967,-0.0030458955668107137,0.06082198619842529,0.685333333333333,primary_target,0,0.00400412546283536,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0005970700192847289, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1264, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.111409692158728,False,False,0.1,1.111409692158728,1.111409692158728,short,0
(*)|(dist_ema200_atr<=-0.018208969&dist_prior_day_high>0.023082949)|(cs_rank_ret_24h<=0.7237711&prior_range<=0.062673278),*,dist_ema200_atr<=-0.018208969&dist_prior_day_high>0.023082949,cs_rank_ret_24h<=0.7237711&prior_range<=0.062673278,-7.312196612474509e-05,7.312196612474509e-05,0.0010371154367256278,0.019322210922837257,0.15045333333333333,0.054254534270315964,1.0,1.0,0.549949545913219,1105,,,-0.0010549666225659875,0.003073550905160217,0.008632193978941799,0.010624566309644097,,0.8,0.047694219606583085,0.7353477343417925,0.8,0.09531595408916474,-0.05318085276404729,-0.9293542265892029,0.22650095226696743,0.022947961682582254,3.1250000000000013e-07,0.0018798155423928114,0.01,0.01,0.01,0.01,0.01,0.0010661773550945048,,9.029154248000001e-05,-0.0001634135086047451,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.047694219606583085,-0.05318085276404729,0.021270549297332762,0.9927466666666667,primary_target,0,0.0010661773550945048,,,rejected,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 7.312196612474509e-05, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1105, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1097188099384347,False,False,0.1,1.1097188099384347,1.1097188099384347,short,0
(*)|(dist_rolling_7d_high<=0.24105695&dist_rolling_7d_high>0.090701826&zscore_price_200<=0.53547198)|(atr_compression_ratio<=-0.62282997),*,dist_rolling_7d_high<=0.24105695&dist_rolling_7d_high>0.090701826&zscore_price_200<=0.53547198,atr_compression_ratio<=-0.62282997,0.0002739044793997891,0.0002739044793997891,0.00221658014082935,0.017163656279444696,0.12850666666666669,0.06902586439556956,1.0,1.0,0.5190763052208835,932,,,0.005214351568976143,-0.0070125017393712595,-0.003419871173992282,0.012809274879892599,,0.4,0.0984545417844104,3.1601094572106088,1.0,0.18200738430023194,-0.002420530586219982,1.902937150001526,0.1511556653750829,0.35408399491077475,3.1250000000000013e-07,0.0026582200344708574,0.01,0.01,0.01,0.01,0.01,0.003573968699695037,,9.000553351999999e-05,0.00018389894587978915,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.0984545417844104,-0.002420530586219982,-0.024525988101959228,1.0,primary_target,0,0.003573968699695037,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0002739044793997891, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 932, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.1096965260194593,False,False,0.1,1.1096965260194593,1.1096965260194593,short,0
(*)|(dist_ema200_atr>-0.018208969&dist_prior_day_high>0.023082949&loc_swing_range_pos_48>0.30066884)|(choppiness_index_20>-0.0097240293),*,dist_ema200_atr>-0.018208969&dist_prior_day_high>0.023082949&loc_swing_range_pos_48>0.30066884,choppiness_index_20>-0.0097240293,-0.00017176432884298266,0.00017176432884298266,0.0009179169509689231,0.02366965189576149,0.11288000000000001,0.03398685759067597,1.0,1.0,0.5200400801603207,1054,,,0.003947094869291327,0.0014792476998999658,0.003934490031902276,0.010880022825634607,,0.8,0.10246118740882784,1.296159193024509,0.6,0.26467674449086187,0.00158611503819745,3.5746438801288605,0.03263796312650522,0.2990544223763184,3.1250000000000013e-07,0.00137656380229207,0.01,0.01,0.01,0.01,0.01,0.0030728752277041516,,9.013220496e-05,-0.0002618965338029827,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.10246118740882784,0.00158611503819745,-0.015849757194519042,1.0,primary_target,0,0.0030728752277041516,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00017176432884298266, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1054, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0867284486296684,False,False,0.1,1.0867284486296684,1.0867284486296684,short,0
