generated_boolean,group,source_feature,support,support_pct,usable_support,nan_rate_before,nan_rate_ts
loc_dist_ema200_atr_ts_top70,location,dist_ema200_atr,136188,0.3,136188,0.0,0.0
loc_dist_ema200_atr_ts_bot70,location,dist_ema200_atr,317772,0.7,136188,0.0,0.0
loc_dist_ema200_atr_ts_top80,location,dist_ema200_atr,90792,0.2,90792,0.0,0.0
loc_dist_ema200_atr_ts_bot80,location,dist_ema200_atr,363168,0.8,90792,0.0,0.0
loc_dist_ema200_atr_ts_band20_80,location,dist_ema200_atr,272376,0.6,181584,0.0,0.0
loc_dist_ema200_atr_ts_band25_75,location,dist_ema200_atr,226980,0.5,226980,0.0,0.0
loc_dist_ema200_atr_ts_band30_70,location,dist_ema200_atr,181584,0.4,181584,0.0,0.0
loc_dist_ema200_atr_ts_band40_60,location,dist_ema200_atr,90792,0.2,90792,0.0,0.0
loc_dist_vwap_atr_ts_top20,location,dist_vwap_atr,363168,0.8,90792,0.0,0.0
loc_dist_vwap_atr_ts_bot20,location,dist_vwap_atr,90792,0.2,90792,0.0,0.0
loc_dist_vwap_atr_ts_top30,location,dist_vwap_atr,317772,0.7,136188,0.0,0.0
loc_dist_vwap_atr_ts_bot30,location,dist_vwap_atr,136188,0.3,136188,0.0,0.0
loc_dist_vwap_atr_ts_top40,location,dist_vwap_atr,272376,0.6,181584,0.0,0.0
loc_dist_vwap_atr_ts_bot40,location,dist_vwap_atr,181584,0.4,181584,0.0,0.0
loc_dist_vwap_atr_ts_top50,location,dist_vwap_atr,226980,0.5,226980,0.0,0.0
loc_dist_vwap_atr_ts_bot50,location,dist_vwap_atr,226980,0.5,226980,0.0,0.0
loc_dist_vwap_atr_ts_top60,location,dist_vwap_atr,181584,0.4,181584,0.0,0.0
loc_dist_vwap_atr_ts_bot60,location,dist_vwap_atr,272376,0.6,181584,0.0,0.0
loc_dist_vwap_atr_ts_top70,location,dist_vwap_atr,136188,0.3,136188,0.0,0.0
loc_dist_vwap_atr_ts_bot70,location,dist_vwap_atr,317772,0.7,136188,0.0,0.0
loc_dist_vwap_atr_ts_top80,location,dist_vwap_atr,90792,0.2,90792,0.0,0.0
loc_dist_vwap_atr_ts_bot80,location,dist_vwap_atr,363168,0.8,90792,0.0,0.0
loc_dist_vwap_atr_ts_band20_80,location,dist_vwap_atr,272376,0.6,181584,0.0,0.0
loc_dist_vwap_atr_ts_band25_75,location,dist_vwap_atr,226980,0.5,226980,0.0,0.0
loc_dist_vwap_atr_ts_band30_70,location,dist_vwap_atr,181584,0.4,181584,0.0,0.0
loc_dist_vwap_atr_ts_band40_60,location,dist_vwap_atr,90792,0.2,90792,0.0,0.0
loc_dist_weekly_vwap_ts_top20,location,dist_weekly_vwap,363168,0.8,90792,0.0,0.0
loc_dist_weekly_vwap_ts_bot20,location,dist_weekly_vwap,90792,0.2,90792,0.0,0.0
loc_dist_weekly_vwap_ts_top30,location,dist_weekly_vwap,317772,0.7,136188,0.0,0.0
loc_dist_weekly_vwap_ts_bot30,location,dist_weekly_vwap,136188,0.3,136188,0.0,0.0
loc_dist_weekly_vwap_ts_top40,location,dist_weekly_vwap,272376,0.6,181584,0.0,0.0
loc_dist_weekly_vwap_ts_bot40,location,dist_weekly_vwap,181584,0.4,181584,0.0,0.0
loc_dist_weekly_vwap_ts_top50,location,dist_weekly_vwap,226980,0.5,226980,0.0,0.0
loc_dist_weekly_vwap_ts_bot50,location,dist_weekly_vwap,226980,0.5,226980,0.0,0.0
loc_dist_weekly_vwap_ts_top60,location,dist_weekly_vwap,181584,0.4,181584,0.0,0.0
loc_dist_weekly_vwap_ts_bot60,location,dist_weekly_vwap,272376,0.6,181584,0.0,0.0
loc_dist_weekly_vwap_ts_top70,location,dist_weekly_vwap,136188,0.3,136188,0.0,0.0
loc_dist_weekly_vwap_ts_bot70,location,dist_weekly_vwap,317772,0.7,136188,0.0,0.0
loc_dist_weekly_vwap_ts_top80,location,dist_weekly_vwap,90792,0.2,90792,0.0,0.0
loc_dist_weekly_vwap_ts_bot80,location,dist_weekly_vwap,363168,0.8,90792,0.0,0.0
loc_dist_weekly_vwap_ts_band20_80,location,dist_weekly_vwap,272376,0.6,181584,0.0,0.0
loc_dist_weekly_vwap_ts_band25_75,location,dist_weekly_vwap,226980,0.5,226980,0.0,0.0
loc_dist_weekly_vwap_ts_band30_70,location,dist_weekly_vwap,181584,0.4,181584,0.0,0.0
loc_dist_weekly_vwap_ts_band40_60,location,dist_weekly_vwap,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_high_ts_top20,location,dist_prior_day_high,363168,0.8,90792,0.0,0.0
loc_dist_prior_day_high_ts_bot20,location,dist_prior_day_high,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_high_ts_top30,location,dist_prior_day_high,317772,0.7,136188,0.0,0.0
loc_dist_prior_day_high_ts_bot30,location,dist_prior_day_high,136188,0.3,136188,0.0,0.0
loc_dist_prior_day_high_ts_top40,location,dist_prior_day_high,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_high_ts_bot40,location,dist_prior_day_high,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_high_ts_top50,location,dist_prior_day_high,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_high_ts_bot50,location,dist_prior_day_high,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_high_ts_top60,location,dist_prior_day_high,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_high_ts_bot60,location,dist_prior_day_high,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_high_ts_top70,location,dist_prior_day_high,136188,0.3,136188,0.0,0.0
loc_dist_prior_day_high_ts_bot70,location,dist_prior_day_high,317772,0.7,136188,0.0,0.0
loc_dist_prior_day_high_ts_top80,location,dist_prior_day_high,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_high_ts_bot80,location,dist_prior_day_high,363168,0.8,90792,0.0,0.0
loc_dist_prior_day_high_ts_band20_80,location,dist_prior_day_high,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_high_ts_band25_75,location,dist_prior_day_high,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_high_ts_band30_70,location,dist_prior_day_high,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_high_ts_band40_60,location,dist_prior_day_high,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_low_ts_top20,location,dist_prior_day_low,363168,0.8,90792,0.0,0.0
loc_dist_prior_day_low_ts_bot20,location,dist_prior_day_low,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_low_ts_top30,location,dist_prior_day_low,317772,0.7,136188,0.0,0.0
loc_dist_prior_day_low_ts_bot30,location,dist_prior_day_low,136188,0.3,136188,0.0,0.0
loc_dist_prior_day_low_ts_top40,location,dist_prior_day_low,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_low_ts_bot40,location,dist_prior_day_low,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_low_ts_top50,location,dist_prior_day_low,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_low_ts_bot50,location,dist_prior_day_low,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_low_ts_top60,location,dist_prior_day_low,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_low_ts_bot60,location,dist_prior_day_low,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_low_ts_top70,location,dist_prior_day_low,136188,0.3,136188,0.0,0.0
loc_dist_prior_day_low_ts_bot70,location,dist_prior_day_low,317772,0.7,136188,0.0,0.0
loc_dist_prior_day_low_ts_top80,location,dist_prior_day_low,90792,0.2,90792,0.0,0.0
loc_dist_prior_day_low_ts_bot80,location,dist_prior_day_low,363168,0.8,90792,0.0,0.0
loc_dist_prior_day_low_ts_band20_80,location,dist_prior_day_low,272376,0.6,181584,0.0,0.0
loc_dist_prior_day_low_ts_band25_75,location,dist_prior_day_low,226980,0.5,226980,0.0,0.0
loc_dist_prior_day_low_ts_band30_70,location,dist_prior_day_low,181584,0.4,181584,0.0,0.0
loc_dist_prior_day_low_ts_band40_60,location,dist_prior_day_low,90792,0.2,90792,0.0,0.0
loc_dist_rolling_7d_high_ts_top20,location,dist_rolling_7d_high,363168,0.8,90792,0.0,0.0
loc_dist_rolling_7d_high_ts_bot20,location,dist_rolling_7d_high,90792,0.2,90792,0.0,0.0
loc_dist_rolling_7d_high_ts_top30,location,dist_rolling_7d_high,317772,0.7,136188,0.0,0.0
loc_dist_rolling_7d_high_ts_bot30,location,dist_rolling_7d_high,136188,0.3,136188,0.0,0.0
loc_dist_rolling_7d_high_ts_top40,location,dist_rolling_7d_high,272376,0.6,181584,0.0,0.0
loc_dist_rolling_7d_high_ts_bot40,location,dist_rolling_7d_high,181584,0.4,181584,0.0,0.0
loc_dist_rolling_7d_high_ts_top50,location,dist_rolling_7d_high,226980,0.5,226980,0.0,0.0
loc_dist_rolling_7d_high_ts_bot50,location,dist_rolling_7d_high,226980,0.5,226980,0.0,0.0
loc_dist_rolling_7d_high_ts_top60,location,dist_rolling_7d_high,181584,0.4,181584,0.0,0.0
