layer,feature,live_value,replay_value,delta,abs_delta,live_missing,replay_missing
meta_lgbm_tree,lgbm_depth3_minpct0200_tree10_leaf1_soft,0.05209273099899292,0.05209273099899292,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree10_leaf3_soft,0.06416600942611694,0.06416600942611694,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree11_leaf1_soft,0.05209273099899292,0.05209273099899292,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree12_leaf0_soft,0.3674306273460388,0.3674306273460388,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree14_leaf1_soft,0.43065568804740906,0.43065568804740906,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree160_leaf2_soft,0.5004285573959351,0.5004285573959351,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree19_leaf3_soft,0.04766213893890381,0.04766213893890381,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree1_leaf0_soft,0.32036393880844116,0.32036393880844116,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree1_leaf1_soft,0.03690725564956665,0.03690725564956665,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree21_leaf4_soft,0.3460950255393982,0.3460950255393982,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree22_leaf0_soft,0.22644168138504028,0.22644168138504028,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree22_leaf5_soft,0.4353634715080261,0.4353634715080261,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree23_leaf6_soft,0.04766213893890381,0.04766213893890381,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree25_leaf7_soft,0.12895113229751587,0.12895113229751587,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree26_leaf0_soft,0.22644168138504028,0.22644168138504028,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree27_leaf6_soft,0.05357080698013306,0.05357080698013306,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree28_leaf4_soft,0.12895113229751587,0.12895113229751587,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree34_leaf1_soft,0.06193810701370239,0.06193810701370239,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree3_leaf0_soft,0.2286231517791748,0.2286231517791748,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree42_leaf4_soft,0.06416600942611694,0.06416600942611694,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree43_leaf4_soft,0.5096142292022705,0.5096142292022705,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree48_leaf6_soft,0.2431904673576355,0.2431904673576355,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree6_leaf1_soft,0.04595106840133667,0.04595106840133667,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree70_leaf3_soft,0.5190852880477905,0.5190852880477905,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree74_leaf2_soft,0.09465664625167847,0.09465664625167847,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree76_leaf1_soft,0.3537566661834717,0.3537566661834717,0.0,0.0,False,False
meta_lgbm_tree,lgbm_depth3_minpct0200_tree79_leaf6_soft,0.2405509352684021,0.2405509352684021,0.0,0.0,False,False
