config_id,evaluation_stage,mode,k_tp,tp_anchor,tp_base_pct,sl_method,sl_as_tp_pct,regime_model,horizon_scaling,ic_label,ic_label_bucket_mean,ic_payoff,ic_payoff_bucket_mean,ic_snr,sharpe,sortino,tp_hit_rate,sl_hit_rate,timeout_rate,bind,balance,sl_to_tp,p50_cell_sl_to_tp,p90_cell_sl_to_tp,payoff_edge,edge,payoff_edge_support_tp,payoff_edge_support_sl,payoff_edge_min_count,pr_auc_lift,barrier_ratio,flag_degenerate_timeout,flag_degenerate_sl,flag_degenerate_tp,ess,ess_full,coverage,ic_std_time,ic_std_asset,worst_bucket_IC,stage1_score,stage2_score,stage_score,stage2_missing,stage2_reward,stage2_penalty_raw,stage2_penalty_bounded,stage2_auc_score,stage2_sep_score,stage2_sortino_score,stage2_ic_snr_score,stage2_dir_sup_score,stage2_tp_over_sl_score,stage2_payoff_edge_score,rr_keep_rate,rr_keep_floor,stage2_rr_keep_penalty,stage2_horizon_consistency_penalty,stage2_probe_gap_penalty,probe_auc,probe_auc_bound,probe_status,probe_n_train,probe_n_val,brier,ece,monotonicity,min_cell_brier,min_cell_ece,min_cell_mono,oof_payoff_decile_spread,oof_flip_rate,oof_flipped_cells,oof_modeled_cells,hard_gate,pass_cells,total_cells,worst_bucket_coverage,payoff_mean_top_decile,top10_vs_rest_spread,cell_dispersion,min_cell_payoff,min_cell_ic,min_cell_ic_label,median_cell_ic_label,min_cell_auc,median_cell_auc,min_cell_auc_bound,median_cell_auc_bound,min_cell_tp_sep,median_cell_tp_sep,timeout_range,min_cell_ap_lift,median_cell_ap_lift,min_cell_tp_over_sl,median_cell_tp_over_sl,min_cell_dir_superiority,median_cell_dir_superiority,effective_pos_mass,effective_neg_mass,prod_admissible_tier0,prod_adm_failures,econ_ok,econ_G,econ_multiplier,tp_floor_bind_prod_agg,max_cell_tp_floor_bind_prod,floor_dominance_penalty,tp_eff_p50_prod,tp_eff_p75_prod,tp_eff_p90_prod,tp_eff_tradeable_ok,tp_eff_tradeable_rule_p50,tp_eff_tradeable_rule_tail,prod_aligned_tp,_stage_score,_auc_metric,_cid,_stable_id
CFGBAA0B97605,stage1,optuna_s1_TF_short_H4,1.102973,0.02924,0.027196245139459074,tp_pct,0.42,none,sqrt,0.3174343630302546,0.3174343630302546,0.31261967694348614,0.31261967694348614,0.0,1.8785329373858437,490835.0110054016,0.13815229996134518,0.36714340935446466,0.4947042906841902,0.5053,0.3763,2.6575,2.6575,2.6575,0.987745,0.987745,1787.0,4749.0,30.0,2.412767,0.525,False,False,False,8737.4755859375,12980.0,0.6731491206423343,0.05306,0.13132,0.31261967694348614,0.02101909343196849,0.3702075327425369,0.3702075327425369,False,0.6518133933339536,0.05944722888888889,0.05944722888888889,0.3677999999999999,0.9998608558344383,1.0,0.0,0.9999988887814757,0.9998989354618639,0.8660341641565145,0.9965331278890601,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.13874,0.16365,0.8421,0.13874,0.16365,0.8421,0.28166950157957965,0.0,0.0,1.0,False,1.0,12.0,0.9965331278890601,0.5240610837936401,0.140644,,,0.31262,0.31743,0.31743,0.7239,0.7239,0.6839,0.6839,0.2664,0.2664,0.5053,2.4128,2.4128,5.6477,5.6477,2.8004,2.8004,1786.9702499999999,11148.02975,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.027196245139459074, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.027196245139459074, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3702075327425369,0.6839,CFGBAA0B97605,1.102973|0.02924|0.42
CFGF4A01C267E,stage1,optuna_s1_TF_short_H4,0.524148,0.024452,0.045,tp_pct,0.54,none,sqrt,0.3600224080837661,0.3600224080837661,0.3356870745763997,0.3356870745763997,0.0,2.0751391750354737,485519.97542381287,0.20802963317003226,0.35237184848846936,0.4395985183414984,0.5604,0.5904,1.6939,1.6939,1.6939,1.249843,1.249843,1741.0,2949.0,30.0,2.148765,0.6654,False,False,False,5579.88134765625,8555.0,0.6522362767570135,0.05354,0.14892,0.3356870745763997,0.04363499588964245,0.35540519575343654,0.35540519575343654,False,0.653788558233025,0.07818433999999999,0.07818433999999999,0.359,0.9999952244432788,1.0,0.0,0.9999936841990505,0.9997910183763148,0.9310818301613115,0.9782583284628872,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.18303,0.18531,0.8421,0.18303,0.18531,0.8421,0.2833050459538772,0.0,0.0,1.0,False,1.0,12.0,0.9782583284628872,0.5114495158195496,0.131498,,,0.33569,0.36002,0.36002,0.7235,0.7235,0.6795,0.6795,0.36756,0.36756,0.5604,2.1488,2.1488,4.9734,4.9734,2.5832,2.5832,1741.00307,6627.99693,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.045, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.045, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35540519575343654,0.6795,CFGF4A01C267E,0.524148|0.024452|0.54
CFG42696F52A7,stage1,optuna_s1_TF_short_H4,0.524148,0.05,0.045,tp_pct,0.54,none,sqrt,0.3600224080837661,0.3600224080837661,0.3356870745763997,0.3356870745763997,0.0,2.0751391750354737,485519.97542381287,0.20802963317003226,0.35237184848846936,0.4395985183414984,0.5604,0.5904,1.6939,1.6939,1.6939,1.249843,1.249843,1741.0,2949.0,30.0,2.148765,0.6654,False,False,False,5579.88134765625,8555.0,0.6522362767570135,0.05354,0.14892,0.3356870745763997,0.04363499588964245,0.35540519575343654,0.35540519575343654,False,0.653788558233025,0.07818433999999999,0.07818433999999999,0.359,0.9999952244432788,1.0,0.0,0.9999936841990505,0.9997910183763148,0.9310818301613115,0.9782583284628872,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.18303,0.18531,0.8421,0.18303,0.18531,0.8421,0.2833050459538772,0.0,0.0,1.0,False,1.0,12.0,0.9782583284628872,0.5114495158195496,0.131498,,,0.33569,0.36002,0.36002,0.7235,0.7235,0.6795,0.6795,0.36756,0.36756,0.5604,2.1488,2.1488,4.9734,4.9734,2.5832,2.5832,1741.00307,6627.99693,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.045, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.045, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35540519575343654,0.6795,CFG42696F52A7,0.524148|0.05|0.54
CFG598B782169,stage1,optuna_s1_TF_long_H4,1.328441,0.024452,0.01888289492301234,tp_pct,0.54,none,sqrt,0.3548877991744941,0.3548877991744941,0.3313893133126247,0.3313893133126247,0.0,2.0070952218097853,480183.06493759155,0.19121218812099802,0.38043718260101567,0.4283506292779863,0.5716,0.5026,1.9896,1.9896,1.9896,1.094396,1.094396,1732.0,3446.0,30.0,2.255595,0.661,False,False,False,6084.0537109375,9175.0,0.6631121210831062,0.05972,0.15095,0.3313893133126247,0.04449128312652924,0.35306458094705007,0.35306458094705007,False,0.6503383557772555,0.08358014097222222,0.08358014097222222,0.3548,0.9999941554444192,1.0,0.0,0.9999919000840218,0.9997729920849537,0.8974960574470798,0.9872479564032698,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.18191,0.20528,0.8947,0.18191,0.20528,0.8947,0.2856465058638169,0.0,0.0,1.0,False,1.0,12.0,0.9872479564032698,0.4956657588481903,0.122489,,,0.33139,0.35489,0.35489,0.7232,0.7232,0.6774,0.6774,0.3615,0.3615,0.5716,2.2556,2.2556,4.9019,4.9019,2.5521,2.5521,1731.98018,7326.01982,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.01888289492301234, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.01888289492301234, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35306458094705007,0.6774,CFG598B782169,1.328441|0.024452|0.54
CFG9D1FF35363,stage1,optuna_s1_TF_long_H4,1.6,0.024452,0.015678007384013395,tp_pct,0.54,none,sqrt,0.3548879193141766,0.3548879193141766,0.3313895368452104,0.3313895368452104,0.0,2.0070952218097853,480183.06493759155,0.19121218812099802,0.38043718260101567,0.4283506292779863,0.5716,0.5026,1.9896,1.9896,1.9896,1.094396,1.094396,1732.0,3446.0,30.0,2.255595,0.661,False,False,False,6084.0537109375,9175.0,0.6631121210831062,0.05972,0.15095,0.3313895368452104,0.044491374139717724,0.35306458094705007,0.35306458094705007,False,0.6503383557772555,0.08358014097222222,0.08358014097222222,0.3548,0.9999941554444192,1.0,0.0,0.9999919000840218,0.9997729920849537,0.8974960574470798,0.9872479564032698,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.18191,0.20528,0.8947,0.18191,0.20528,0.8947,0.28564650581421835,0.0,0.0,1.0,False,1.0,12.0,0.9872479564032698,0.4956657588481903,0.122489,,,0.33139,0.35489,0.35489,0.7232,0.7232,0.6774,0.6774,0.3615,0.3615,0.5716,2.2556,2.2556,4.9019,4.9019,2.5521,2.5521,1731.98018,7326.01982,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.015678007384013395, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.015678007384013395, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35306458094705007,0.6774,CFG9D1FF35363,1.6|0.024452|0.54
CFG3D4059F8CB,stage1,optuna_s1_MR_short_H2,0.760343,0.02924,0.03945156868703281,tp_pct,0.42,none,sqrt,0.4086145224393228,0.4086145224393228,0.41448195607624766,0.41448195607624766,0.0,1.7077482574792842,480408.4300994873,0.09635825056630075,0.41278968461404425,0.490852064819655,0.5091,0.2334,4.2839,4.2839,4.2839,0.729269,0.729269,1106.0,4738.0,30.0,3.235536,0.6168,False,False,False,8097.755859375,12089.0,0.6698449714099595,0.04268,0.15488,0.41448195607624766,0.06848598293785979,0.35056532927803913,0.35056532927803913,False,0.6612398372499226,0.06114899555555555,0.06114899555555555,0.43320000000000003,0.9999089407350281,1.0,0.0,0.9999999998112981,0.9999602879613002,0.7497387043761807,0.9494581851269749,0.5,0.0,0.0,0.0,,,disabled,0.0,0.0,0.10525,0.14764,0.8333,0.10525,0.14764,0.8333,0.38708446089231874,0.0,0.0,1.0,False,0.0,12.0,0.9494581851269749,0.5214824676513672,0.183202,,,0.41448,0.40861,0.40861,0.7735,0.7735,0.7166,0.7166,0.27912,0.27912,0.5091,3.2355,3.2355,6.6507,6.6507,3.8855,3.8855,1106.02008,10371.97992,True,0.0,False,0.9233627289407661,0.9770088186822298,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.03945156868703281, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.03945156868703281, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35056532927803913,0.7166,CFG3D4059F8CB,0.760343|0.02924|0.42
CFGB58367B739,stage1,optuna_s1_MR_short_H2,1.328441,0.02924,0.022580396186360246,tp_pct,0.42,none,sqrt,0.40861466761289134,0.40861466761289134,0.4144821799263299,0.4144821799263299,0.0,1.7077482574792842,480408.4300994873,0.09635825056630075,0.41278968461404425,0.490852064819655,0.5091,0.2334,4.2839,4.2839,4.2839,0.729269,0.729269,1106.0,4738.0,30.0,3.235536,0.6168,False,False,False,8097.755859375,12089.0,0.6698449714099595,0.04268,0.15488,0.4144821799263299,0.06848607454185457,0.35056532927803913,0.35056532927803913,False,0.6612398372499226,0.06114899555555555,0.06114899555555555,0.43320000000000003,0.9999089407350281,1.0,0.0,0.9999999998112981,0.9999602879613002,0.7497387043761807,0.9494581851269749,0.5,0.0,0.0,0.0,,,disabled,0.0,0.0,0.10525,0.14764,0.8333,0.10525,0.14764,0.8333,0.38708446090834103,0.0,0.0,1.0,False,0.0,12.0,0.9494581851269749,0.5214824080467224,0.183202,,,0.41448,0.40861,0.40861,0.7735,0.7735,0.7166,0.7166,0.27912,0.27912,0.5091,3.2355,3.2355,6.6507,6.6507,3.8855,3.8855,1106.02008,10371.97992,True,0.0,False,0.9233627289407661,0.9770088186822298,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.022580396186360246, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.022580396186360246, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.35056532927803913,0.7166,CFGB58367B739,1.328441|0.02924|0.42
CFG37F5AAD65F,stage1,optuna_s1_TF_short_H4,0.524148,0.02924,0.045,tp_pct,0.42,none,sqrt,0.3481766240890638,0.3481766240890638,0.34639915420599027,0.34639915420599027,0.0,1.8860172820269678,468456.1491012573,0.19126058110272248,0.42210020590253944,0.386639212994738,0.6134,0.4531,2.2069,2.2069,2.2069,1.020952,1.020952,1672.0,3690.0,30.0,2.150526,0.5716,False,False,False,5915.70556640625,8931.0,0.6623788563885623,0.06126,0.15702,0.34639915420599027,0.05963584449546257,0.3486335132527446,0.3486335132527446,False,0.6393659423982118,0.080071915,0.080071915,0.32299999999999995,0.9999921369291414,1.0,0.0,0.9999938684064663,0.999809143548248,0.8766871333936423,0.9788377561303325,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.17296,0.17761,0.9474,0.17296,0.17761,0.9474,0.2961012715278193,0.0,0.0,1.0,False,1.0,12.0,0.9788377561303325,0.49404940009117126,0.136523,,,0.3464,0.34818,0.34818,0.7147,0.7147,0.6615,0.6615,0.3526,0.3526,0.6134,2.1505,2.1505,5.053,5.053,2.5869,2.5869,1671.99492,7070.00508,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.045, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.045, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3486335132527446,0.6615,CFG37F5AAD65F,0.524148|0.02924|0.42
CFG99143C7EDC,stage1,optuna_s1_TF_short_H4,0.524148,0.020448,0.04002150016408777,tp_pct,0.54,none,sqrt,0.36340587622571874,0.36340587622571874,0.3313731875906047,0.3313731875906047,0.0,2.0557776970111643,469015.77711105347,0.23808829957744426,0.3776774005536937,0.38423429986886204,0.6158,0.6304,1.5863,1.5863,1.5863,1.251494,1.251494,1634.0,2592.0,30.0,1.988971,0.6865,False,False,False,4885.7255859375,7227.0,0.6760378560865504,0.06677,0.16733,0.3313731875906047,0.05651438692092128,0.3479341208314476,0.3479341208314476,False,0.6470961308301337,0.09469623097222224,0.09469623097222224,0.3388,0.9999977785120377,1.0,0.0,0.9999958502185773,0.9997067568218508,0.9313741433735234,0.9496333194963332,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.19638,0.18862,0.8421,0.19638,0.18862,0.8421,0.277907583467375,0.0,0.0,1.0,False,1.0,12.0,0.9496333194963332,0.4969761371612549,0.124222,,,0.33137,0.36341,0.36341,0.7173,0.7173,0.6694,0.6694,0.39052,0.39052,0.6158,1.989,1.989,4.6871,4.6871,2.6357,2.6357,1634.0116699999999,5228.98833,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.04002150016408777, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.04002150016408777, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3479341208314476,0.6694,CFG99143C7EDC,0.524148|0.020448|0.54
CFGC0688E11A8,stage1,optuna_s1_TF_short_H4,1.328441,0.020448,0.01579083246301964,tp_pct,0.54,none,sqrt,0.36340587621897347,0.36340587621897347,0.3313732075298082,0.3313732075298082,0.0,2.0557775663824036,469015.7473087311,0.23808829957744426,0.3776774005536937,0.38423429986886204,0.6158,0.6304,1.5863,1.5863,1.5863,1.251494,1.251494,1634.0,2592.0,30.0,1.988971,0.6865,False,False,False,4885.7255859375,7227.0,0.6760378560865504,0.06677,0.16733,0.3313732075298082,0.05651439511807951,0.3479341208314476,0.3479341208314476,False,0.6470961308301337,0.09469623097222224,0.09469623097222224,0.3388,0.9999977785120377,1.0,0.0,0.9999958502185773,0.9997067568218508,0.9313741433735234,0.9496333194963332,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.19638,0.18862,0.8421,0.19638,0.18862,0.8421,0.27790758426584505,0.0,0.0,1.0,False,1.0,12.0,0.9496333194963332,0.4969761371612549,0.124222,,,0.33137,0.36341,0.36341,0.7173,0.7173,0.6694,0.6694,0.39052,0.39052,0.6158,1.989,1.989,4.6871,4.6871,2.6357,2.6357,1634.0116699999999,5228.98833,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.01579083246301964, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.01579083246301964, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3479341208314476,0.6694,CFGC0688E11A8,1.328441|0.020448|0.54
CFG783CBAD5E3,stage1,optuna_s1_TF_short_H4,1.328441,0.020448,0.01579083246301964,tp_pct,0.75,none,sqrt,0.3529678073032492,0.3529678073032492,0.27771519493737445,0.27771519493737445,0.0,2.242686263576303,488306.99920654297,0.25379543014875017,0.2763379849716301,0.4698665848796197,0.5301,0.9184,1.0888,1.0888,1.0888,1.495594,1.495594,1655.0,1802.0,30.0,1.915082,0.8773,False,False,False,4888.2607421875,6831.0,0.7155995816406822,0.05953,0.19051,0.27771519493737445,0.02062186489903478,0.3474853462527411,0.3474853462527411,False,0.6541638873877221,0.11800858430555558,0.11800858430555558,0.3575999999999999,0.9999968423000732,1.0,0.0,0.999874463698917,0.9995868308556253,0.9636101740704713,0.9546186502708242,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.19776,0.17287,0.7895,0.19776,0.17287,0.7895,0.23173444334829085,0.0,0.0,1.0,False,1.0,12.0,0.9546186502708242,0.5146288871765137,0.109103,,,0.27772,0.35297,0.35297,0.7125,0.7125,0.6788,0.6788,0.37997,0.37997,0.5301,1.9151,1.9151,4.4141,4.4141,2.2095,2.2095,1655.0298000000003,4865.9702,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.01579083246301964, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.01579083246301964, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3474853462527411,0.6788,CFG783CBAD5E3,1.328441|0.020448|0.75
CFG31FA04E809,stage1,optuna_s1_TF_short_H4,1.6,0.020448,0.013110743292503921,tp_pct,0.75,none,sqrt,0.3529678623978199,0.3529678623978199,0.27771506088696607,0.27771506088696607,0.0,2.242686263576303,488306.99920654297,0.25379543014875017,0.2763379849716301,0.4698665848796197,0.5301,0.9184,1.0888,1.0888,1.0888,1.495594,1.495594,1655.0,1802.0,30.0,1.915085,0.8773,False,False,False,4888.2607421875,6831.0,0.7155995816406822,0.05953,0.19051,0.27771506088696607,0.0206218082003239,0.3474853462527411,0.3474853462527411,False,0.6541638873877221,0.11800858430555558,0.11800858430555558,0.3575999999999999,0.9999968423000732,1.0,0.0,0.999874463698917,0.9995868308556253,0.9636101740704713,0.9546186502708242,0.55,0.0,0.0,0.0,,,disabled,0.0,0.0,0.19776,0.17287,0.7895,0.19776,0.17287,0.7895,0.23173444126155834,0.0,0.0,1.0,False,1.0,12.0,0.9546186502708242,0.5146288871765137,0.109103,,,0.27772,0.35297,0.35297,0.7125,0.7125,0.6788,0.6788,0.37997,0.37997,0.5301,1.9151,1.9151,4.4141,4.4141,2.2095,2.2095,1655.0298000000003,4865.9702,True,0.0,True,1.0,1.0,0.0,0.0,0.0,,,,False,False,False,"{'atr_q': 0.010858372785151005, 'q': 0.25, 'alpha': 0.45, 'margin_mult': 4.0, 'fee_pct_total': 0.003, 'tp_min_tradeable': 0.02, 's_H2': 0.7071067811865476, 'tp_atr_anchor': 0.004886267753317952, 'tp_base_pct_final': 0.013110743292503921, 'tp_abs_lo_pct_final': 0.02, 'worst_horizon': 2, 'tp_base_pre_override': 0.013110743292503921, 'tp_abs_lo_pre_override': 0.005, 'tp_eff_targets': {'H2': 0.01, 'H4': 0.031112698372208092}, 'tp_eff_bands': {'H2': [0.01, 0.04], 'H4': [0.014142135623730949, 0.056568542494923796]}, 'scaling': {'s2': 0.7071067811865476, 's4': 1.0}, 'atr_quantiles': {'q50': 0.014270983636379242, 'q75': 0.019135070964694023, 'q90': 0.0259111151099205}}",0.3474853462527411,0.6788,CFG31FA04E809,1.6|0.020448|0.75
