canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,is_too_narrow,is_too_broad,comp_bonus,pruner_rank_score,within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,leaf_reconstructability_score,stage_c_rejection_reason,cheap_rank,step1_bucket_side,step1_bucket_horizon
(*)|(dist_ema200_atr>-0.035324086&dist_range_mid_atr<=0.0018652943)|(donchian_zone_1d_atr>0.10905695&mark_perp_dislocation>-0.000045885852),*,dist_ema200_atr>-0.035324086&dist_range_mid_atr<=0.0018652943,donchian_zone_1d_atr>0.10905695&mark_perp_dislocation>-0.000045885852,0.003530755126848817,0.003530755126848817,0.0014264266419305256,0.019177398830652236,0.14060689456548964,0.01874357202934172,1.0,1.0,0.7137137137137137,535,,,0.07602224769144246,0.07285042071897642,0.07622770916193226,0.09802878886121676,,1.0,0.11132751605150974,2.294006096675004,1.0,0.22702013105154037,-0.07547095385257387,0.7657413884997368,0.30366722349328407,0.8723621088327715,0.03104709146180251,12.0,0.999329299739067,0.6221929045945533,0.999329299739067,0.999329299739067,0.04010174237191677,0.08380619642247711,0.08380619642247711,9.010960882109024e-05,0.0034406455180277266,5,1,1,4,4,stage_a_context,,long,4-way,False,b_mask_ic_uplift_too_low,production,0.1195,0.11132751605150974,-0.07547095385257387,-0.06308995485305786,1.0,primary_target,0,,0.9126013904332579,,0.5897787211434332,b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.003530755126848817, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 535, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,1.001985493048817,False,False,0.1,1.001985493048817,0.10795593147224661,1.0,0.005288222720520376,0.0030097956780722503,0.029112599985959952,5,0.8723621088327715,within_leaf_future_edge,0.033899277397018375,,1.001985493048817,long,0
(*)|(dist_ema200_atr<=0.014993349&dist_range_mid_atr>-0.00092359335&oiw_z_delta_entry_dist_14d_atr>-0.97919768)|(mark_perp_dislocation>0.00065656967),*,dist_ema200_atr<=0.014993349&dist_range_mid_atr>-0.00092359335&oiw_z_delta_entry_dist_14d_atr>-0.97919768,mark_perp_dislocation>0.00065656967,0.004306663642637432,0.004306663642637432,0.001828118309575776,0.02036204971373081,0.1086091009266216,0.0294027751079683,1.0,1.0,0.659,332,,,0.07477409862101123,0.057114645322748146,0.10019136405201325,0.10208338107462278,,1.0,0.09569410657749225,2.9512165293838137,0.8,0.24096446745097638,-0.09110436332659136,0.6818914383649826,0.3473936878563371,0.9265349891915017,0.023134385121509254,12.0,0.999329299739067,0.4636199269251994,0.999329299739067,0.999329299739067,0.029360131360590458,0.07528704203503053,0.07528704203503053,9.024179541519032e-05,0.004216421847222242,5,1,1,4,4,stage_a_context,,long,4-way,False,b_mask_ic_uplift_too_low,production,0.0725,0.09569410657749225,-0.09110436332659136,-0.025894689559936523,1.0,primary_target,0,,0.9082109651890808,,0.5980616935348908,b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004306663642637432, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 332, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.7073473789034381,False,False,0.1,0.7073473789034381,0.13558668286922826,0.8,0.005852341479794773,0.0037169354285701275,0.07830669706352865,5,0.9265349891915017,within_leaf_future_edge,0.034433165389876584,,0.7073473789034381,long,0
(*)|(zscore_price_200>-0.38404167)|(bollinger_band_width<=0.0029939318&mark_vs_perp_bps>0.14110425),*,zscore_price_200>-0.38404167,bollinger_band_width<=0.0029939318&mark_vs_perp_bps>0.14110425,0.004700804920867085,0.004700804920867085,0.003502462234913542,0.025241538137197494,0.15729577761081895,0.060821464759133456,1.0,1.0,0.6646646646646647,180,,,0.06678472727850775,0.04462271672556713,0.06649430138591766,0.07736618334586891,,1.0,0.12394621390821811,1.489730622373109,0.6,0.29035286232829094,-0.06285225599586548,1.0952650010585785,0.09228600768030347,0.39946936986608916,0.021826146900298063,12.0,0.999329299739067,0.8926086379746545,0.999329299739067,0.48969846484656904,0.025170198641717434,0.06782991997932526,0.06782991997932526,7.036505603802061e-05,0.004630439864829064,5,1,1,3,3,stage_a_context,,long,3-way,False,b_min_fold_support_too_low|b_mask_ic_uplift_too_low,production,0.045078888054094664,0.12394621390821811,-0.06285225599586548,-0.03549013137817383,0.8832675582268967,primary_target,0,,0.5191436453794138,,0.575507099334238,b_min_fold_support_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004700804920867085, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 180, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_min_fold_support_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,1.0005811574660715,False,False,0.3,1.0005811574660715,0.033421469508991816,0.6,0.0009254025097879499,0.0003480357141633049,-0.002322108704574055,5,0.39946936986608916,within_leaf_future_edge,0.027818984265813633,,1.0005811574660715,long,0
(*)|(dist_range_mid_atr>-0.00090216298)|(mark_perp_dislocation>0.0022563441&ob_spread_z_24h>-0.8416605),*,dist_range_mid_atr>-0.00090216298,mark_perp_dislocation>0.0022563441&ob_spread_z_24h>-0.8416605,0.005245234770700336,0.005245234770700336,0.0013596905655502449,0.026365089789032937,0.16524364387678436,0.01597288555477885,1.0,1.0,0.608,612,,,0.09992716126915664,0.06891756871575858,0.1141632980425673,0.11877405426401468,,1.0,0.13781201937293996,1.9196634367515002,1.0,0.3437512816861272,-0.04898645053114363,0.7718881443142891,0.22199808356958434,0.8047289007925688,0.01656977881110885,11.14339403930351,0.999329299739067,0.5061639489360109,0.9988130589477108,0.655937808197149,0.030220679938793182,0.06466138454771281,0.06466138454771281,7.05668428053685e-05,0.0051746679278949674,5,1,1,3,3,stage_a_context,,long,3-way,False,b_mask_ic_uplift_too_low,production,0.15326821938392185,0.13781201937293996,-0.04898645053114363,-0.07225019931793213,0.7561016979714503,primary_target,0,,0.4746355942900075,,0.5700559633916508,b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005245234770700336, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 612, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.6543902711476847,False,False,0.3,0.6543902711476847,0.06893453105827846,1.0,0.004317953688758137,0.0022340071103653684,-0.01262725232121309,5,0.8047289007925688,within_leaf_future_edge,0.034963602740566924,,0.6543902711476847,long,0
(*)|(dist_local_swing<=0.003300041)|(mark_perp_dislocation>0.0041760015&mark_vs_perp_bps>-1.7346251),*,dist_local_swing<=0.003300041,mark_perp_dislocation>0.0041760015&mark_vs_perp_bps>-1.7346251,0.006050605466589332,0.006050605466589332,0.001391080991990677,0.02332061007618904,0.17777522163786624,0.027655987320684163,1.0,1.0,0.6186186186186187,630,,,0.11947231142958581,0.07682122563883054,0.11398141690082157,0.15945966159854397,,1.0,0.07471730949077626,1.3091658336707794,0.6,0.14577637824695558,-0.11208116041330736,0.48079065382480624,0.15472224442478658,0.6803926329833124,0.020430943000285445,12.0,0.999329299739067,0.7221791935588351,0.999329299739067,0.5665734171499346,0.02907596994191408,0.060377111706178994,0.060377111706178994,7.097482840662406e-05,0.005979630638182708,5,1,1,3,3,stage_a_context,,long,3-way,False,b_mask_ic_uplift_too_low,production,0.14925,0.07471730949077626,-0.11208116041330736,-0.08590623736381531,0.5555964537941402,primary_target,0,,0.404458758827949,,0.5656831214236812,b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006050605466589332, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 630, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.9778199809322408,False,False,0.3,0.9778199809322408,0.04296315133040294,0.8,0.003152205497803733,0.0016239382146730325,-0.023370722272830824,5,0.6803926329833124,within_leaf_future_edge,0.02512336543539537,,0.9778199809322408,long,0
(*)|(dist_local_swing<=0.039999485)|(asset_funding_rate_mean_15d<=-0.00000000000000000000000000000000001&mark_perp_dislocation>0.002629421),*,dist_local_swing<=0.039999485,asset_funding_rate_mean_15d<=-0.00000000000000000000000000000000001&mark_perp_dislocation>0.002629421,0.0058249830268323425,0.0058249830268323425,0.0016136424332849906,0.022601011954247952,0.1592973478587528,0.07542044464639432,1.0,1.0,0.6026026026026026,312,,,0.11337281875655263,0.10415200514052464,0.1178059739935896,0.1255485181038287,,1.0,0.06057303763038695,1.5859383508129075,0.8,0.12593146786093712,-0.12622543227369665,0.5172562271356582,0.22825974945976574,0.645753388145192,0.006837835674442652,9.317500589555548,0.999329299739067,0.5669118035633159,0.9959962496145426,0.2423632859226537,0.02177358977496624,0.04389689357096974,0.04389689357096974,7.04117078245505e-05,0.005754571319007792,5,1,1,3,3,stage_a_context,,long,3-way,False,b_mask_ic_uplift_too_low,production,0.0781367392937641,0.06057303763038695,-0.12622543227369665,-0.060114717483520506,0.8512424342599554,primary_target,0,,0.5079348519909843,,0.5717485385272081,b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0058249830268323425, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 312, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.8515793688463208,False,False,0.3,0.8515793688463208,0.026728210302798677,0.8,0.0030130593868383823,0.0020198793973058423,-0.00533581332534625,5,0.645753388145192,within_leaf_future_edge,0.027151121078399707,,0.8515793688463208,long,0
(*)|(*)|(funding_mean_10d_robust_z<=-0.021531388&log_oi_to_volume_1d<=3.3398023&mark_perp_dislocation>0.0010966789),*,*,funding_mean_10d_robust_z<=-0.021531388&log_oi_to_volume_1d<=3.3398023&mark_perp_dislocation>0.0010966789,0.004534775111824274,0.004534775111824274,0.00042198827957748804,0.02395824305713177,0.11684137240170298,0.0323467021575087,1.0,1.0,0.5525525525525525,472,,,0.0858615995932496,0.06747398563742031,0.0691408959316268,0.10806476604348475,,1.0,0.06999457858454006,2.989006532053173,1.0,0.08265373129397631,-0.11680389131954354,0.48543113470077515,0.26256356246699974,0.5272861741585945,0.0037098085098950222,6.871519731651868,0.999329299739067,0.4141500075938656,0.9797187479963424,0.18298427743386872,0.025614296086132526,0.035680509224515315,0.035680509224515315,7.004659424300138e-05,0.004464728517581273,5,1,1,3,3,stage_a_context,,long,3-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.06825,0.06999457858454006,-0.11680389131954354,-0.012245631217956543,1.0,primary_target,0,,0.9543116854495366,,0.5946856721650106,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004534775111824274, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 472, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.917034659056142,False,False,0.3,0.917034659056142,0.05180257999428828,0.8,0.0008507594370598587,0.0006608021663449233,0.012509115706926666,5,0.5272861741585945,within_leaf_future_edge,0.028005892313618826,,0.917034659056142,long,0
(*)|(*)|(dist_funding_pressure_price_96h_atr>-2.0534267&funding_mean_15d_robust_z<=0.063144073&log_oi_to_volume_7d<=40.145004&mark_perp_dislocation>0.00001472364),*,*,dist_funding_pressure_price_96h_atr>-2.0534267&funding_mean_15d_robust_z<=0.063144073&log_oi_to_volume_7d<=40.145004&mark_perp_dislocation>0.00001472364,0.0047037358395755294,0.0047037358395755294,0.0005245086676548288,0.02599620781838894,0.10423129977460557,0.03526235724271532,1.0,1.0,0.5450901803607214,243,,,0.0821039487719341,0.06858924700619237,0.0725413471009496,0.10007519895315727,,1.0,0.10739671531573267,2.273220467458992,1.0,0.23025959432125093,-0.07940175458835094,0.6428074449300766,0.26510473127276646,0.7710956110338487,0.0029258327227336626,6.78637274892939,0.999329299739067,0.3898257999280527,0.978546893441908,0.1535036287050711,0.02261417917907238,0.034890127394455135,0.034890127394455135,9.038820501814707e-05,0.004613347634557383,5,1,1,4,4,stage_a_context,,long,4-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.0608564988730278,0.10739671531573267,-0.07940175458835094,-0.044747674465179445,1.0,primary_target,0,,0.8836952787377912,,0.5842294592200766,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0047037358395755294, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 243, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,1.0012936036228097,False,False,0.1,1.0012936036228097,0.07816027405153739,0.8,0.00238902448691895,0.0020160001677641546,0.02674375567401387,5,0.7710956110338487,within_leaf_future_edge,0.03350416608046616,,1.0012936036228097,long,0
(*)|(*)|(asset_vol_level_pct<=0.38238361&mark_vs_perp_bps>0.2193367&xasset_ob_liquidity_peer_resid>-0.75408667),*,*,asset_vol_level_pct<=0.38238361&mark_vs_perp_bps>0.2193367&xasset_ob_liquidity_peer_resid>-0.75408667,0.0035084528848528863,0.0035084528848528863,0.0009999292990984015,0.02292439229786396,0.12900154770848987,0.005248345147445548,1.0,1.0,0.531,474,,,0.07795690909697997,0.04264170461104586,0.07739224692372494,0.11378283257625507,,1.0,0.10930530941588287,1.8057858811119756,0.8,0.23347286283969879,-0.07749316048820074,0.6234992042183876,0.24262474174105608,0.7631527748367192,0.0032429959741297736,6.808978142840542,0.999329299739067,0.4168772978178535,0.9086469617642318,0.1713422085324274,0.02636183425784111,0.034869690659074574,0.034869690659074574,7.000560433442215e-05,0.0034384472805184642,5,1,1,3,3,stage_a_context,,long,3-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.11870773854244929,0.10930530941588287,-0.07749316048820074,-0.04563571214675903,1.0,primary_target,0,,0.9775913328324566,,0.5767726492802209,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0035084528848528863, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 474, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.9485057126303669,False,False,0.3,0.9485057126303669,0.05859728616656247,0.8,0.00388756184132079,0.002131688372156303,-0.029838713717135833,5,0.7631527748367192,within_leaf_future_edge,0.03138155364629705,,0.9485057126303669,long,0
(*)|(*)|(mark_perp_dislocation>0.0020942169&ob_depth_mkt_resid<=-0.33579728),*,*,mark_perp_dislocation>0.0020942169&ob_depth_mkt_resid<=-0.33579728,0.004663248546421528,0.004663248546421528,0.0010163180841406426,0.021270595863461493,0.12377190583521162,0.02617170758356484,1.0,1.0,0.5522088353413654,364,,,0.09044149570042707,0.05887981428026028,0.09002797485865076,0.12739824063171526,,1.0,0.10703936832981771,2.3647224394353143,1.0,0.202188827842474,-0.0797591015742659,0.7114161536097526,0.3188201771414359,0.876829951985646,0.0027521908325538478,7.723455023619629,0.999329299739067,0.32885139205797254,0.9884562536475983,0.1694504711473745,0.023294237442314625,0.03419237514948141,0.03419237514948141,8.500128198298595e-05,0.004578247264438542,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.0911595291760581,0.10703936832981771,-0.0797591015742659,-0.08066552281379699,1.0,primary_target,0,,0.9931226726771851,,0.6116594489817431,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004663248546421528, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 364, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.8411911107410223,False,False,0.15,0.8411911107410223,0.12643679307621805,1.0,0.00679988887609016,0.004238328416193783,0.02205122373549039,5,0.876829951985646,within_leaf_future_edge,0.03339501465419513,,0.8411911107410223,long,0
(*)|(oiw_pos_delta_entry_dist_7d_atr<=-0.00000000000000000000000000000000001)|(log_oi_to_volume_7d<=1.1897656&mark_perp_dislocation>0.0030414509),*,oiw_pos_delta_entry_dist_7d_atr<=-0.00000000000000000000000000000000001,log_oi_to_volume_7d<=1.1897656&mark_perp_dislocation>0.0030414509,0.004043495166115463,0.004043495166115463,0.001870419666973778,0.020879802852869035,0.14440679939894815,0.033978138905327845,1.0,1.0,0.5365365365365365,648,,,0.09370272344890089,0.036940460542876245,0.08580089813297005,0.11349949293818877,,1.0,0.11804911561970433,2.9951083181273206,1.0,0.2126970037817955,-0.06874935428437927,0.8299811959266663,0.48827760186931546,0.6012620005780756,0.002518967876651773,7.355220524518774,0.999329299739067,0.4017570427615523,0.9852678998530657,0.1273579827812659,0.033288128674030304,0.033715854931072986,0.033715854931072986,7.013181835201884e-05,0.003973363347763444,5,1,1,3,3,stage_a_context,,long,3-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.1008,0.11804911561970433,-0.06874935428437927,-0.032526814937591554,1.0,primary_target,0,,0.8913219233658902,,0.5808152320210506,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004043495166115463, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 648, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.6725108534229022,False,False,0.3,0.6725108534229022,0.04460463679478123,0.8,0.001977581960374076,0.0009714194031349687,-0.011845926266788109,5,0.6012620005780756,within_leaf_future_edge,0.03598217169599399,,0.6725108534229022,long,0
