,meta_prob,l2_consensus_target,realized_return,volatility_1d,layer5_size,layer5_pnl
2025-11-21 17:00:00,,4.5397868702434395e-05,-0.014431750327691617,0.0069546549576869465,0.0,-0.0
2025-11-21 17:15:00,,4.5397868702434395e-05,-0.014442315932513113,0.006959129164833702,0.0,-0.0
2025-11-21 17:45:00,,4.5397868702434395e-05,-0.014439788187304537,0.006958058901952357,0.0,-0.0
2025-11-21 19:15:00,,4.5397868702434395e-05,-0.014707135767311183,0.0070707066805554795,0.0,-0.0
2025-11-22 00:00:00,,4.5397868702434395e-05,-0.010961262704991858,0.007112433593183577,0.0,-0.0
2025-11-22 01:15:00,,4.5397868702434395e-05,-0.013070901678233464,0.007125547399718458,0.0,-0.0
2025-11-22 06:45:00,,4.5397868702434395e-05,-0.011883174661823918,0.006886679223968949,0.0,-0.0
2025-11-22 07:30:00,,4.5397868702434395e-05,-0.012609258775957826,0.006767812829388715,0.0,-0.0
2025-11-22 14:30:00,,0.7627422907329111,0.0005838866425533786,0.005014794400926066,0.0,0.0
2025-11-22 15:15:00,,0.07237177985824038,-0.001275407292611795,0.004881523369734885,0.0,-0.0
2025-11-22 16:15:00,,0.9985133632156483,0.0032548755795534373,0.004836583306167685,0.0,0.0
2025-11-22 16:30:00,,4.5397868702434395e-05,-0.006511267489092648,0.004839803887726157,0.0,-0.0
2025-11-22 16:45:00,,4.5397868702434395e-05,-0.00695838828119992,0.004487344178164562,0.0,-0.0
2025-11-22 17:00:00,,0.0013441583851648744,-0.00330532106757164,0.0044138389891182185,0.0,-0.0
2025-11-22 17:15:00,,0.0015002919329533218,-0.0032502970746718348,0.004402708892054458,0.0,-0.0
2025-11-22 17:45:00,,4.5397868702434395e-05,-0.005472735941410065,0.004383758859667371,0.0,-0.0
2025-11-22 18:15:00,,4.5397868702434395e-05,-0.007067694302648306,0.003920227636244628,0.0,-0.0
2025-11-22 18:45:00,,4.5397868702434395e-05,-0.005234296873211861,0.003798214151011047,0.0,-0.0
2025-11-22 19:30:00,,0.9287259899858844,0.0012836409993469714,0.003679508218816647,0.0,0.0
2025-11-22 20:15:00,,4.5397868702434395e-05,-0.009477871893130936,0.0034350867972725704,0.0,-0.0
