,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_in_hvn_above_zone,0.016704733,0.010978647,0.02541735,40.333332,15.488347,105.03237,788.5691,468.72144,1326.6755,0.11509977,0.07435914,0.17816179,0.2819934,0.10243973,0.776264,39.0,1.0,0.4346051,1.0,0.78571427,1.0,0.0,9.5,12.0,0.8964286,1.0
press_24,0.014557842,0.0037756918,0.05613031,36.0,5.5377493,234.0301,705.1946,173.56767,2865.1614,0.10395685,0.028743397,0.37598294,0.27900964,0.07970697,0.9766572,5.0,0.74325496,1.0,0.8628247,0.94345236,1.0,0.0,9.0,3.1666667,0.86041665,2.0
jump_rate_10h,0.012818391,0.0019199369,0.08558155,31.166666,1.771691,548.2678,651.8214,98.36279,4319.4297,0.09199889,0.014750121,0.5738119,0.2663193,0.082503654,0.8596707,2.0,0.13059098,0.86205167,0.75168264,0.9404762,1.0,0.0,6.5,3.3333333,0.7985445,3.0
dir_path_short_2h,0.013288074,0.0040686666,0.043398228,31.333334,7.5424724,130.16658,669.3782,219.46689,2041.6161,0.09758153,0.03366702,0.28283328,0.2589968,0.08404402,0.7981454,12.0,0.0,0.7784758,0.781693,0.83035713,1.0,0.0,8.0,9.5,0.7875204,4.0
wick_ratio,0.011785992,0.0013538431,0.102603935,28.5,3.9475732,205.75934,556.5852,68.39549,4529.35,0.08123003,0.010771477,0.61257315,0.22483306,0.06721045,0.75211364,1.0,0.0,0.75818866,0.6857176,0.91964287,1.0,0.0,14.0,4.5,0.7570554,5.0
dist_vwap_96_atr,0.012883966,0.004258147,0.03898329,31.833334,7.4479675,136.05875,647.7745,231.53212,1812.3264,0.09632434,0.03645329,0.2545279,0.25330684,0.094649136,0.67791796,17.0,0.0,0.686694,0.7558725,0.79464287,0.8333333,0.0,10.5,11.5,0.7393906,6.0
loc_vwap_dev_z_24,0.011355921,0.0033353514,0.038663674,24.666666,5.280993,115.21402,565.337,142.36543,2244.9683,0.08066721,0.021392843,0.30417648,0.2136878,0.04072386,1.1212709,11.0,0.0,0.863665,0.6582382,0.83928573,1.0,0.0,11.0,9.0,0.7218524,7.0
trend_z_t,0.010665919,0.0017310248,0.06571935,23.5,2.43242,227.03728,496.98376,93.65293,2637.3213,0.077557266,0.015461369,0.3890425,0.18863659,0.027873997,1.2765934,3.0,0.0,0.7584481,0.6141506,0.91964287,1.0,0.0,20.5,4.5,0.71769357,8.0
loc_ema_stack_pos_24,0.01235862,0.0026744667,0.057108764,22.333334,3.681787,135.47165,523.20685,146.35367,1870.4374,0.08385712,0.023861172,0.2947054,0.19761248,0.05512169,0.7084451,8.0,0.6595894,0.8836139,0.72230554,0.7708333,0.8333333,0.0,13.0,12.833333,0.7149764,9.0
asym_ft,0.01228997,0.004824504,0.031307545,35.666668,10.02774,126.859215,656.51825,281.49088,1531.1906,0.09265,0.040902223,0.20986687,0.2574992,0.12817365,0.5173125,21.0,0.0,0.0,0.7179192,0.5744048,0.8333333,0.0,6.0,23.833334,0.66345674,10.0
zscore_price_50,0.010521157,0.003142267,0.03522767,26.833334,4.524624,159.13539,525.8573,180.40088,1532.8412,0.07909853,0.02951591,0.21197303,0.20291169,0.07539325,0.54611194,18.0,0.3710114,0.9662018,0.604901,0.7083333,0.8333333,0.0,17.5,16.333334,0.6347789,11.0
dir_path_risk_long_2h,0.010328293,0.003149513,0.03386988,24.0,4.082483,141.0906,479.9677,165.31093,1393.5498,0.0741642,0.026267802,0.20939428,0.19490933,0.07888769,0.48156622,23.0,0.57133836,0.94330925,0.592578,0.69345236,0.8333333,0.0,21.0,17.166666,0.624281,12.0
stall_x_flow,0.010472914,0.0038192836,0.028717937,27.0,5.4467115,133.84222,494.60242,163.15651,1499.3673,0.07247066,0.024796888,0.2118006,0.18583651,0.06115524,0.56471384,24.0,0.0,0.94330925,0.60181856,0.60119045,0.8333333,0.0,19.5,22.333334,0.60629785,13.0
impulse_ratio_24,0.0089478,0.0011227946,0.07130701,20.0,2.3804762,168.03362,400.16998,62.301388,2570.3445,0.061522167,0.009634216,0.39286816,0.15206866,0.029717568,0.7781551,4.0,0.6052449,0.94330925,0.5043716,0.8541667,0.6666667,0.0,27.0,8.166667,0.5909461,14.0
trend_t,0.01065125,0.003839249,0.029549824,20.666666,5.7927155,73.732445,485.87466,209.13335,1128.8213,0.0754942,0.033293147,0.17118764,0.17268841,0.050935477,0.5854718,33.0,0.0,0.8610865,0.61321336,0.53869045,0.6666667,0.0,23.0,25.833334,0.57194,15.0
mr_tape,0.007587323,0.0015069586,0.038201094,30.0,2.5819888,348.5685,422.6993,75.85396,2355.5095,0.05400506,0.01048183,0.27824786,0.16492751,0.044657875,0.6090994,13.0,0.0,0.94330925,0.41744402,0.8452381,0.8333333,0.0,31.0,8.666667,0.5659037,16.0
range_norm_12,0.008120139,0.0013859534,0.04757495,19.166666,2.67187,137.49214,397.8505,89.07881,1776.9099,0.06009881,0.012693816,0.2845375,0.15256341,0.043477476,0.53534824,14.0,0.0,0.81963813,0.45148826,0.74404764,0.8333333,0.0,29.0,14.333333,0.55933046,17.0
rsi_slope_base,0.0083577195,0.0013908594,0.050221812,23.5,4.387482,125.86945,416.04092,67.09882,2579.6287,0.05925051,0.008207398,0.42773893,0.16300617,0.04793772,0.55428195,6.0,0.0,0.75417966,0.46666843,0.78571427,0.6666667,0.0,25.0,12.0,0.55309623,18.0
dir_path_risk_skew_2h,0.009741673,0.0042462517,0.022349171,29.5,6.9221864,125.71895,473.63516,201.68794,1112.2642,0.06861209,0.03217494,0.14631322,0.19785807,0.1097649,0.3566515,48.0,0.0,0.80289966,0.55509603,0.58035713,0.6666667,0.0,26.5,23.5,0.55039215,19.0
time_since_event_extreme_12h,0.0072554946,0.0020357908,0.025858358,28.5,5.4390564,149.33656,410.7087,94.52975,1784.4292,0.051823996,0.012981496,0.20688881,0.15935254,0.04875869,0.520794,29.0,0.0,0.83385396,0.39624187,0.72619045,0.8333333,0.0,24.0,15.333333,0.52448064,20.0
climax_range_24,0.0081985425,0.0022553785,0.029802581,21.0,2.4494898,180.03749,408.37598,119.0558,1400.7795,0.058463976,0.016513985,0.20697829,0.15539971,0.048576202,0.4971379,25.0,0.81341463,0.94330925,0.45649785,0.6160714,0.6666667,0.19146328,23.0,21.5,0.5146648,21.0
range_norm_24,0.008112402,0.0021515726,0.030587425,20.833334,4.219663,102.8584,370.5485,88.87607,1544.9174,0.05584529,0.012893171,0.24188747,0.14938755,0.054729827,0.40776014,19.0,0.2275452,0.96158993,0.45099387,0.6547619,0.6666667,0.0,36.5,19.333334,0.5117371,22.0
clv_collapse,0.0074459277,0.001992491,0.02782539,28.5,7.2053223,112.72917,434.9559,119.046715,1589.1798,0.05539367,0.015238819,0.20135804,0.17415503,0.065474845,0.4632309,27.0,0.0,0.94330925,0.4084096,0.72619045,0.6666667,0.0,23.5,15.333333,0.5061729,23.0
vp_in_lvn_above_zone,0.007197936,0.0022221408,0.023315484,28.166666,6.6437106,119.41537,415.05844,130.28207,1322.3118,0.05239852,0.018162852,0.15116598,0.16306046,0.06540335,0.4065344,44.0,0.0,0.94330925,0.39256418,0.70238096,0.6666667,0.0,35.5,16.666666,0.49150556,24.0
wick_ratio_4h_max,0.0082244,0.0023912166,0.028287172,19.666666,3.8151743,101.37879,383.4815,120.77145,1217.656,0.058368433,0.019152666,0.17787987,0.15424144,0.06965678,0.34153777,35.0,0.0,0.9333282,0.45814997,0.6577381,0.5,0.0,42.0,19.166666,0.491417,25.0
impact_24,0.0066492334,0.0017548576,0.025194239,21.0,2.6457512,166.68233,351.66348,74.543724,1658.9889,0.049171165,0.011949727,0.20233129,0.13879132,0.051036276,0.37743807,31.0,0.28314927,0.96605706,0.35750487,0.66964287,0.6666667,0.0,35.5,18.5,0.46403843,26.0
loc_session_pos_48,0.008519182,0.003795675,0.019120831,19.833334,7.0099134,56.11497,410.60904,196.1667,859.472,0.062495742,0.030383255,0.12854835,0.15248778,0.07678006,0.3028459,63.0,0.0,0.94330925,0.47698507,0.60119045,0.33333334,0.0,65.5,22.333334,0.46263942,27.0
up_vol,0.0071281414,0.0015220275,0.033383366,19.833334,3.8042374,103.40078,342.75632,40.18814,2923.2974,0.048728343,0.00700437,0.3389957,0.1348094,0.043420874,0.41854465,10.0,0.0,0.94330925,0.38810465,0.7589286,0.33333334,0.0,41.5,13.5,0.45318973,28.0
align,0.006716542,0.0015909637,0.028355101,26.333334,3.3993464,203.99347,365.1993,72.41463,1841.7625,0.047945917,0.010885415,0.21118267,0.14074643,0.04298898,0.46080545,22.0,0.0,0.94330925,0.36180556,0.70238096,0.5,0.0,42.0,16.666666,0.4495883,29.0
climax,0.008334873,0.003487832,0.019917848,21.666666,7.65216,61.347965,407.8562,153.20218,1085.7983,0.05767523,0.020504022,0.16223316,0.16206649,0.08244908,0.31856692,53.0,0.0,0.94330925,0.46520868,0.4642857,0.5,0.0,48.0,30.0,0.4469362,30.0
clv_t,0.007510637,0.0019106118,0.029524403,17.0,2.9439204,98.16842,352.62268,98.22758,1265.864,0.05396764,0.015267484,0.19076529,0.12974156,0.031915642,0.52741766,30.0,0.0,0.94330925,0.4125442,0.54761904,0.5,0.0,46.0,25.333334,0.4388041,31.0
range_expansion_ratio,0.007154443,0.0021734282,0.023550836,20.666666,4.3843155,97.41797,372.06836,97.986015,1412.8024,0.051711172,0.013999105,0.19101544,0.14530197,0.06258179,0.3373611,38.0,0.0,0.94330925,0.3897852,0.5625,0.5,0.13889556,38.0,24.5,0.43695164,32.0
bb_pos_24,0.0071739648,0.0009783517,0.052604567,19.333334,2.4944382,149.84447,311.4354,46.803757,2072.3125,0.04896189,0.008658824,0.27685824,0.11689217,0.024898518,0.5487788,9.0,0.0,0.880673,0.39103255,0.76785713,0.16666667,0.0,54.0,13.0,0.4320322,33.0
shock_rel,0.0068857516,0.0020383769,0.023260454,21.833334,4.844814,98.39272,366.47552,108.86244,1233.7065,0.050691873,0.015113105,0.170029,0.1454356,0.06436599,0.32861322,43.0,0.0,0.94330925,0.3726172,0.6041667,0.5,0.0,44.0,22.166666,0.4309811,34.0
trend_retest_success_rate,0.00739192,0.0029254241,0.018677799,20.833334,7.266743,59.727966,393.44815,115.17174,1344.0923,0.051074695,0.016685903,0.15633704,0.15461577,0.06514134,0.36698717,47.0,0.0,0.94330925,0.40495875,0.625,0.33333334,0.0,51.0,21.0,0.4289773,35.0
shock_decay,0.0075649293,0.0036969911,0.015479656,24.5,8.20061,73.19578,432.9904,180.61456,1038.0153,0.055394858,0.024475574,0.12537359,0.18468945,0.11413574,0.29885635,66.0,0.0,0.806049,0.41601318,0.48809522,0.5,0.0,37.5,28.666666,0.42583108,36.0
up_vol_6,0.007654993,0.0029790655,0.019670235,19.5,4.8218255,78.860176,356.59293,130.62558,973.458,0.051897917,0.019430052,0.13861999,0.12973984,0.02780975,0.6052706,55.0,0.7972081,0.9398069,0.4217678,0.54464287,0.33333334,0.0,54.5,25.5,0.41813302,37.0
down_up_vol_ratio_24,0.0075588673,0.003473739,0.01644812,16.0,3.8729835,66.098915,364.90656,160.75749,828.30853,0.057066094,0.025977543,0.12535979,0.1279722,0.025299434,0.6473221,71.0,0.0,0.81539696,0.41562587,0.6369048,0.16666667,0.0,54.5,20.333334,0.41282043,38.0
climax_range_12,0.0065600397,0.0015754941,0.027314682,17.166666,3.0230596,97.482185,334.8449,84.52047,1326.5558,0.0450803,0.012490018,0.16270861,0.12676097,0.039665412,0.40509713,36.0,0.0,0.94330925,0.35180587,0.6547619,0.33333334,0.0,46.5,19.333334,0.4071837,39.0
climax_vol_12,0.006727837,0.0018330915,0.0246926,19.0,3.4156504,105.68998,340.1013,100.0272,1156.3744,0.04704814,0.0149796195,0.14776927,0.12569551,0.036091987,0.4377526,45.0,0.0,0.94330925,0.36252725,0.5029762,0.5,0.0,49.0,27.833334,0.40013403,40.0
breakout_min,0.0069235205,0.002296103,0.020876737,14.833333,3.7155828,59.217567,316.71713,92.70416,1082.0413,0.048299883,0.014362306,0.16243064,0.117988385,0.03805835,0.3657872,50.0,0.2644726,0.94330925,0.37503043,0.44940478,0.5,0.0,52.0,30.833334,0.39361793,41.0
ft_2,0.0066972817,0.0031126596,0.014410051,26.166666,7.1043806,96.37637,383.85944,199.45798,738.74243,0.04968597,0.026617054,0.09274864,0.1556188,0.094787255,0.25549018,93.0,0.0,0.94330925,0.36057493,0.47619048,0.5,0.0,47.5,29.333334,0.39236385,42.0
body_ratio_15m,0.008000949,0.0042403564,0.015096656,20.666666,5.934831,71.96685,362.15866,182.73798,717.7429,0.05248783,0.028167134,0.097808056,0.12727836,0.051989082,0.31159964,90.0,0.0,0.8588191,0.44387263,0.35119048,0.33333334,0.13405114,60.0,36.333332,0.38863015,43.0
tail_asymmetry_q90_q10_atr_norm,0.009030965,0.0054845214,0.014870639,23.0,8.504901,62.199432,446.23123,228.67482,870.76624,0.0632778,0.035827186,0.11176095,0.17230386,0.11605612,0.2558126,76.0,0.0,0.94330925,0.5096854,0.122023806,0.5,0.0,43.0,49.166668,0.3858329,44.0
trend_acceleration,0.0065007578,0.0014544135,0.029056283,16.333334,3.036811,87.848,296.7098,64.536026,1364.1483,0.04503385,0.01031996,0.196517,0.11089209,0.028034208,0.43864465,28.0,0.06404795,0.94330925,0.34801805,0.6160714,0.16666667,0.24735628,60.0,21.5,0.3827956,45.0
rsi_slope,0.0067923698,0.0033374967,0.01382362,21.0,7.7674537,56.775364,378.03036,178.26266,801.66516,0.04938935,0.02432355,0.10028586,0.15091251,0.08718505,0.26122123,84.0,0.0,0.94330925,0.36665058,0.45535713,0.33333334,0.15372458,65.0,30.5,0.37318334,46.0
breakout_confirmed,0.007531689,0.0036785172,0.015420981,18.333334,6.624869,50.734756,339.2889,187.47147,614.05054,0.052970402,0.03091909,0.090748586,0.123900935,0.070832424,0.216729,99.0,0.0,0.94330925,0.4138893,0.3809524,0.33333334,0.0,79.0,34.666668,0.3728772,47.0
trend_strength_percentile,0.006497274,0.0026556808,0.01589595,19.166666,6.066758,60.553116,346.51254,153.58679,781.7791,0.04794736,0.021694887,0.10596733,0.1315386,0.069925845,0.24743931,78.0,0.0,0.8901063,0.34779546,0.4077381,0.5,0.0,40.5,33.166668,0.368222,48.0
lr_1h,0.007057878,0.0017560216,0.02836733,11.833333,2.5440562,55.04115,285.25012,89.47756,909.3636,0.04542607,0.013022786,0.1584552,0.103573985,0.033565637,0.3195998,46.0,0.0,0.94330925,0.3836152,0.32440478,0.5,0.0,63.5,37.833332,0.36708957,49.0
retest_quality,0.006677033,0.0024848224,0.017942034,19.0,5.1316013,70.34841,332.2248,123.45546,894.03345,0.048096694,0.019935025,0.11604159,0.13431063,0.06351751,0.28400585,67.0,0.0,0.94330925,0.35928112,0.4642857,0.33333334,0.0,51.5,30.0,0.36367607,50.0
G_EXH_TAIL_FAIL,0.005492198,0.00077290786,0.03902695,22.166666,1.9507834,251.87888,312.25482,53.48024,1823.1608,0.039576873,0.006709925,0.23343466,0.12056941,0.037142783,0.39138108,16.0,0.0,0.94330925,0.28357622,0.72619045,0.16666667,0.0,43.5,15.333333,0.36251453,51.0
loc_initial_balance_pos_24,0.0069500944,0.001512015,0.031946648,14.166667,3.0230596,66.387856,289.99487,40.556896,2073.557,0.044863388,0.005921863,0.33988017,0.10959697,0.029074105,0.41313377,15.0,0.34084213,0.94330925,0.37672836,0.6041667,0.0,0.0,56.0,22.166666,0.35824227,52.0
dip_volume_profile,0.006172664,0.002076255,0.018351205,18.166666,2.9674156,111.21724,325.59265,123.05675,861.4772,0.04425007,0.018029021,0.10860651,0.1244512,0.053994346,0.28684673,70.0,0.0,0.94330925,0.32705453,0.5625,0.16666667,0.0,62.5,24.5,0.345505,53.0
true_range_percentile,0.004861338,0.0008329026,0.028373796,15.166667,2.2669117,101.47187,247.50003,54.992126,1113.9097,0.03347756,0.0067945346,0.16494831,0.09516036,0.036233064,0.24992348,37.0,0.0,0.94330925,0.24326749,0.6577381,0.16666667,0.4322389,102.0,19.166666,0.34484363,54.0
atr_expansion,0.0043172347,0.00032398605,0.057528753,15.833333,2.7938426,89.731064,240.71219,25.599236,2263.441,0.030650333,0.0036879892,0.2547304,0.09085291,0.023837639,0.34626964,7.0,0.0,0.94330925,0.20850207,0.8839286,0.0,0.0,90.5,6.5,0.33565828,55.0
vp_dist_poc_atr,0.007137313,0.003553168,0.0143368505,19.166666,5.2095,70.51754,324.36722,145.38783,723.67883,0.04993811,0.024406614,0.10217782,0.11676966,0.052732248,0.25857332,86.0,0.0,0.94330925,0.38869068,0.22619048,0.33333334,0.0,67.5,43.333332,0.32032752,56.0
range_expansion_ratio_G_VOL_1,0.006562361,0.003659807,0.0117669,16.0,6.1373177,41.712036,323.56198,150.71582,694.63416,0.04562594,0.023073543,0.09022135,0.13326982,0.08327603,0.21327679,112.0,0.0,0.94330925,0.3519542,0.2767857,0.33333334,0.12800688,66.5,40.5,0.3191716,57.0
dist_vwap_24_atr,0.005812314,0.0027512098,0.012279323,16.333334,5.280993,50.516594,279.6956,132.03992,592.4695,0.041111205,0.021685366,0.077938795,0.10730304,0.059058867,0.19495703,118.0,0.0,0.94330925,0.30403,0.4077381,0.33333334,0.0,113.5,33.166668,0.31915104,58.0
loc_prev_week_range_pos_48,0.0052226586,0.0013485969,0.020225585,17.833334,2.7938426,113.83168,270.2353,79.4764,918.8527,0.037399456,0.011215818,0.12470951,0.0992294,0.033321884,0.29549575,60.0,0.0,0.94330925,0.26635402,0.4642857,0.33333334,0.0,71.0,30.0,0.31256616,59.0
tf_tape,0.005393578,0.0016401453,0.017736651,20.666666,4.8534064,88.002335,293.45575,94.23333,913.86224,0.038827896,0.012427224,0.121314734,0.114867106,0.052106444,0.25322112,64.0,0.0,0.94330925,0.27727494,0.42559522,0.33333334,0.0,65.0,32.166668,0.30890006,60.0
atr_pct_change,0.0047468776,0.00083547464,0.026970115,16.166666,1.9507834,133.97752,242.7611,32.69036,1802.7622,0.033028476,0.0052055176,0.20956227,0.089209504,0.021148583,0.37630585,26.0,0.0,0.94330925,0.23595405,0.7083333,0.0,0.0,80.5,16.333334,0.30685806,61.0
G_VOL,0.006634364,0.0033075316,0.013307441,26.333334,10.979779,63.1565,374.6493,171.99379,816.0882,0.04787234,0.023348283,0.09815544,0.15826696,0.0939427,0.26663518,87.0,0.0,0.94330925,0.3565548,0.13690476,0.5,0.0,51.5,48.333332,0.30533135,62.0
gap_pct,0.0052723796,0.0011218413,0.024778893,18.0,2.3804762,136.10722,265.74945,71.09137,993.4084,0.036854822,0.0102840755,0.13207585,0.097862184,0.031641785,0.3026696,51.0,0.0,0.94330925,0.26953095,0.52678573,0.16666667,0.0,73.5,26.5,0.30493847,63.0
ret1h_G_VOL_1,0.0071114847,0.003958527,0.012775765,16.5,4.9581585,54.9095,299.11456,144.6362,618.5833,0.04670172,0.02229015,0.097848184,0.12580661,0.08492123,0.18637629,108.0,0.0,0.94330925,0.38704038,0.13988096,0.33333334,0.1143444,77.0,48.166668,0.30355966,64.0
loc_prev_day_range_pos_24,0.005401538,0.001090825,0.026747296,12.5,2.140872,72.984276,283.1508,72.5727,1104.7455,0.040853355,0.010455665,0.15962607,0.10275322,0.024035973,0.4392676,41.0,0.0,0.94330925,0.2777835,0.49107143,0.16666667,0.0,68.5,28.5,0.3005488,65.0
mr_pct,0.004354268,0.0007141221,0.026549587,15.0,1.1547005,194.85571,247.04697,50.575806,1206.7471,0.03187835,0.006735167,0.15088403,0.0924955,0.026621211,0.32137597,40.0,0.0,0.94330925,0.21086828,0.6755952,0.0,0.21005161,93.0,18.166666,0.29537892,66.0
ker_24,0.004580251,0.0006892045,0.030439006,16.666666,2.6874192,103.36228,251.85089,40.58616,1562.8203,0.0342197,0.0052442816,0.22328854,0.09334962,0.0223882,0.38922969,20.0,0.0,0.94330925,0.22530746,0.6845238,0.0,0.0,84.0,17.666666,0.29505005,67.0
bb_pos_12,0.005002343,0.0014782803,0.016927397,15.0,4.082483,55.113518,246.96286,77.90293,782.90576,0.0365332,0.012741278,0.104752034,0.09569317,0.04068037,0.22510079,75.0,0.0,0.94330925,0.252277,0.51785713,0.16666667,0.0,91.0,27.0,0.29321662,68.0
loc_range_pos_48,0.0044058636,0.0007334516,0.026466142,15.0,2.3804762,94.518906,224.21329,53.442627,940.66473,0.031519197,0.007948536,0.12498652,0.083802514,0.02802401,0.25060156,52.0,0.0,0.94330925,0.214165,0.69345236,0.0,0.0,99.0,17.166666,0.29115385,69.0
vp_accept_hvn_touchrate,0.005234556,0.0016436726,0.016670337,16.833334,4.0994577,69.121605,289.96756,105.66616,795.72485,0.03787578,0.012695613,0.112997666,0.11176806,0.05285758,0.23633505,74.0,0.0,0.94330925,0.2671142,0.375,0.33333334,0.0,66.5,35.0,0.29066283,70.0
ffd_vol_price_corr_10h_06,0.004387014,0.00073683285,0.026119756,14.833333,2.7938426,78.75454,244.02454,51.070072,1166.0052,0.03238947,0.006967554,0.15056615,0.09294133,0.03159171,0.273429,42.0,0.0,0.94330925,0.21296062,0.6904762,0.0,0.0,86.5,17.333334,0.2897474,71.0
