strategy_id,reject_adverse_entry_threshold_bps,kept_rows,rejected_rows,rejected_fraction,net_hit_rate,gross_hit_rate,mean_net_return,mean_gross_return,mean_entry_adverse_bps,mean_entry_favorable_bps,mean_delay_max_adverse_bps
__global__,50.0,27485,0,0.0,0.610187374931781,0.6192468619246861,0.027679988975161336,0.029709698768633684,,,0.183111694513814
__global__,100.0,27485,0,0.0,0.610187374931781,0.6192468619246861,0.027679988975161336,0.029709698768633684,,,0.183111694513814
__global__,150.0,27485,0,0.0,0.610187374931781,0.6192468619246861,0.027679988975161336,0.029709698768633684,,,0.183111694513814
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,50.0,4795,0,0.0,0.6909280500521376,0.7051094890510949,0.029254609060468534,0.03128589505368996,,,0.1448555885289995
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,100.0,4795,0,0.0,0.6909280500521376,0.7051094890510949,0.029254609060468534,0.03128589505368996,,,0.1448555885289995
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,150.0,4795,0,0.0,0.6909280500521376,0.7051094890510949,0.029254609060468534,0.03128589505368996,,,0.1448555885289995
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,50.0,3494,0,0.0,0.607899255867201,0.613050944476245,0.026493785768351406,0.028522308182602082,,,0.01758070939727196
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,100.0,3494,0,0.0,0.607899255867201,0.613050944476245,0.026493785768351406,0.028522308182602082,,,0.01758070939727196
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,150.0,3494,0,0.0,0.607899255867201,0.613050944476245,0.026493785768351406,0.028522308182602082,,,0.01758070939727196
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,50.0,6315,0,0.0,0.5933491686460808,0.6125098970704671,0.02488262504068542,0.026909534674998303,,,0.056347089925532695
