canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,preset,is_too_narrow,is_too_broad,comp_bonus,pruner_rank_score
(*)|(*)|(ema50_slope>-0.20465356&mkt_ret_eq_24h>-0.031187795&prior_range>0.17609748),*,*,ema50_slope>-0.20465356&mkt_ret_eq_24h>-0.031187795&prior_range>0.17609748,0.0006470692344009877,0.0006470692344009877,0.0029431546073354032,0.032244807481765746,0.13202666666666668,0.0808387871699663,1.0,1.0,0.5395395395395396,824,,,0.014707186448650624,0.00013555675956607153,0.009811816967818186,0.040759239694830356,,0.8,-0.09547997953520217,-2.2995574814392885,0.8,-0.15688862185925245,-0.09898181751607024,-3.1553521037101744,0.20027915701648308,2.6039184080627473e-05,3.1250000000000013e-07,0.0022566126939037342,0.012422874953800261,0.01,0.01,0.01,0.03210482560098171,0.00015406638200527053,,7.001728091555555e-05,0.0005770519534854321,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,-0.09547997953520217,-0.09898181751607024,-0.1730875015258789,1.0,primary_target,0,0.00015406638200527053,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006470692344009877, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 824, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0017257153899621,production,production,False,False,0.3,1.0017257153899621
(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_ema_stack_pos_24>-0.19664918&loc_prev_week_range_pos_24>0.2867578)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748),*,bars_in_high_vol_state_log_norm>-0.54938036&loc_ema_stack_pos_24>-0.19664918&loc_prev_week_range_pos_24>0.2867578,mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748,-0.001270058486261405,0.001270058486261405,0.0019519335009479265,0.021809188276529314,0.17037333333333332,0.030764210086108534,1.0,1.0,0.5095095095095095,2061,,,-0.008626320630526518,-0.016882204855487543,-0.005659388044086142,-0.004500840942279104,,0.2,0.011656672470957943,0.28033779823860333,0.6,0.002693311870098114,0.008154834490089873,-0.1693474292755127,0.08322307625033523,0.09829224742442631,3.1250000000000013e-07,0.0028417038592731566,0.01,0.01,0.01,0.01,0.025706634856760502,0.002902137681856542,,9.092643272000001e-05,-0.001360984918981405,5,1,1,6,6,stage_a_context,,short,6-way,True,,production,production,0.011656672470957943,0.008154834490089873,0.14292964935302735,0.6740266666666669,primary_target,0,0.002902137681856542,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.001270058486261405, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 2061, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0017077832603642,production,production,False,False,0.1,1.0017077832603642
(*)|(dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24>0.25754622)|(mkt_ret_eq_24h>-0.55900121&premium_index_mom_8h<=-0.0055828341&prior_volatility<=0.11876135),*,dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24>0.25754622,mkt_ret_eq_24h>-0.55900121&premium_index_mom_8h<=-0.0055828341&prior_volatility<=0.11876135,-0.0003763849032111466,0.0003763849032111466,0.0014484603249219612,0.021469390392303465,0.1564,0.029245109752648296,1.0,1.0,0.5065065065065065,1624,,,0.0014893661595707344,-0.01591355717166176,0.000672914694331317,0.01672947875885513,,0.6,0.0400830766575397,0.8972642594965319,0.6,0.0755990281701088,0.03658123867667162,0.9577098906040191,0.06674728774351137,0.2956808450374542,3.1250000000000013e-07,0.0024118975328727378,0.01,0.01,0.01,0.01,0.021235043182969093,0.00351663546610297,,9.0443682e-05,-0.0004668285852111466,5,1,1,5,5,stage_a_context,,short,5-way,True,,production,production,0.0400830766575397,0.03658123867667162,0.12964706420898436,0.8975999999999997,primary_target,0,0.00351663546610297,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0003763849032111466, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1624, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016641658551557,production,production,False,False,0.1,1.0016641658551557
(*)|(dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24<=0.25754622)|(mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135),*,dist_prior_day_low<=0.064347461&loc_prev_week_range_pos_24<=0.25754622,mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135,0.00043396338587626816,0.00043396338587626816,0.0020837395309762923,0.023975199088454247,0.12425333333333335,0.024885351335898614,1.0,1.0,0.5220440881763527,1310,,,0.013269917278875876,-0.019099460370161997,-0.0018969715660685487,0.05180109754462469,,0.4,-0.03163343229866454,-1.0769572382642438,0.6,-0.047758931666612624,-0.035135270279532616,-0.9363143216818571,0.039840738460330254,2.122054942736542e-05,3.1250000000000013e-07,0.0037938585611510295,0.01,0.01,0.01,0.01,0.03229565918445587,0.0001324331338013442,,9.000050176000001e-05,0.00034396288411626816,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,production,-0.03163343229866454,-0.035135270279532616,0.08869524002075195,1.0,primary_target,0,0.0001324331338013442,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00043396338587626816, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1310, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016463402768394,production,production,False,False,0.1,1.0016463402768394
(*)|(dist_prior_day_low>0.02033693)|(rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928),*,dist_prior_day_low>0.02033693,rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928,-0.0016387654235586525,0.0016387654235586525,0.0020056587901477758,0.025821008905768394,0.11770666666666667,0.030502971804217516,1.0,1.0,0.530060120240481,1255,,,-0.022675822914353317,-0.04351944375726434,-0.0385166300303564,-0.00040115430369101583,,0.2,0.036011217284879646,2.2806629368839575,1.0,0.04765070760622621,0.03250937930401158,0.3951710417866707,0.2803673218426022,0.3731242576875591,3.1250000000000013e-07,0.0028051534616433736,0.01,0.01,0.01,0.01,0.02685086987912655,0.005035025239565602,,7.003723489777776e-05,-0.0017088026584564302,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,0.036011217284879646,0.03250937930401158,-0.0028072357177734374,1.0,primary_target,0,0.005035025239565602,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0016387654235586525, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1255, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016396028732732,production,production,False,False,0.3,1.0016396028732732
(*)|(*)|(mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306),*,*,mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306,-0.002324703929480165,0.002324703929480165,0.001859536206906634,0.025244231894612314,0.08098666666666667,0.038270299479129015,1.0,1.0,0.5456369107321966,227,,,-0.025484289846790277,-0.043689997901806894,-0.014210476860910929,-0.007443985124276376,,0.0,0.022842060131673284,0.26860821704483984,0.6,0.01589899733662605,0.019340222150805213,0.5737943649291992,0.1440121566976536,0.1720688040475093,3.1250000000000013e-07,0.002049837953493432,0.01062112221155077,0.01,0.01,0.01,0.039479903876781464,0.0038748275943791626,,7.135602145777777e-05,-0.002396059950937943,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,0.022842060131673284,0.019340222150805213,-0.042644596099853514,0.6957866666666666,primary_target,0,0.0038748275943791626,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002324703929480165, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 227, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016336703097595,production,production,False,False,0.3,1.0016336703097595
(*)|(dist_rolling_7d_high>0.13977644)|(mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407),*,dist_rolling_7d_high>0.13977644,mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407,0.0011104562843684107,0.0011104562843684107,0.0014524111075290744,0.03290804363787174,0.10640000000000001,0.04704173088274329,1.0,1.0,0.5694164989939637,780,,,0.015220774521969484,-0.008224185825910018,0.023154496520073484,0.030357144024944584,,0.6,0.01530965632585804,1.2528533944742737,0.6,0.041080367565155027,0.011807818344989967,0.11902994513511658,0.23619565281758073,0.24769071436411477,3.1250000000000013e-07,0.0025997136680818264,0.01,0.01,0.01,0.01,0.031922170892357826,0.00417564879474327,,7.0242172e-05,0.0010402141123684106,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,0.01530965632585804,0.011807818344989967,-0.21350574493408203,1.0,primary_target,0,0.00417564879474327,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011104562843684107, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 780, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016299898326169,production,production,False,False,0.3,1.0016299898326169
(*)|(distance_to_ema>-0.10461644)|(range_24h_pct<=0.063147306&true_range_percentile>-0.057046685),*,distance_to_ema>-0.10461644,range_24h_pct<=0.063147306&true_range_percentile>-0.057046685,-0.000692822685232386,0.000692822685232386,0.0013802591599661451,0.02217666693031788,0.12974666666666665,0.03998213823418875,1.0,1.0,0.5220440881763527,1354,,,-0.009706482717901217,-0.02783735582323591,-0.016317743932300115,0.006581159511712904,,0.4,-0.04603837783933895,-1.8082300740487216,0.8,-0.07707155905663968,-0.049540215820207026,-1.578052818775177,0.04057815468960872,2.219697940409494e-05,3.1250000000000013e-07,0.0017283410082466865,0.01,0.01,0.01,0.01,0.024213043972849846,0.00014695896862516755,,7.000788579555555e-05,-0.0007628305710279416,5,1,1,3,3,stage_a_context,,short,3-way,True,,production,production,-0.04603837783933895,-0.049540215820207026,0.10222768783569336,1.0,primary_target,0,0.00014695896862516755,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000692822685232386, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1354, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016227135197628,production,production,False,False,0.3,1.0016227135197628
(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747),*,*,prior_range<=0.84333628&range_24h_pct>0.10307747,-0.00036673524882644413,0.00036673524882644413,0.0015810225100374598,0.03674259521067143,0.08810666666666665,0.03529755673005018,1.0,1.0,0.5362903225806451,659,,,0.010082838629026715,-0.0009505389711762382,0.013314004918488753,0.01584352771651054,,0.6,0.051084066282679294,1.62491069267069,0.8,0.07971881553530694,0.047582228301811226,0.23613259010016918,0.15844776812152625,0.3798428719104304,3.1250000000000013e-07,0.0022275989524556975,0.01,0.01,0.01,0.01,0.02476336620748043,0.003823592838441746,,8.61569503377778e-05,-0.00045289219916422194,5,1,1,2,2,stage_a_context,,short,2-way,True,,production,production,0.051084066282679294,0.047582228301811226,-0.2973356246948242,0.8097066666666664,primary_target,0,0.003823592838441746,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00036673524882644413, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 659, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016223341433397,production,production,False,False,0.15,1.0016223341433397
(*)|(*)|(compression_ratio<=-0.50662935&range_24h_pct<=0.063147306&true_range_percentile<=-0.057046685&true_range_percentile>-1.231488),*,*,compression_ratio<=-0.50662935&range_24h_pct<=0.063147306&true_range_percentile<=-0.057046685&true_range_percentile>-1.231488,-0.0005259197670966387,0.0005259197670966387,0.002114938762998691,0.01917780265212059,0.12109333333333334,0.03457494532814831,1.0,1.0,0.5485485485485485,1071,,,-0.012899387794813841,-0.01779113774106229,-0.014282277862005975,0.014718685085075954,,0.4,0.06758403176192498,1.9933025143564513,0.8,0.14621773809194566,0.06408219378105692,1.121629822254181,0.1455806314585889,0.4355880687685116,3.1250000000000013e-07,0.002437140315903979,0.01,0.01,0.01,0.01,0.023415078409016132,0.004412446136853488,,9.001373584000001e-05,-0.0006159335029366388,5,1,1,4,4,stage_a_context,,short,4-way,True,,production,production,0.06758403176192498,0.06408219378105692,0.21649789810180664,1.0,primary_target,0,0.004412446136853488,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0005259197670966387, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1071, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016127691293744,production,production,False,False,0.1,1.0016127691293744
