canonical_key,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,dominant_parent_key,dominated_by_parent,preset
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_price_lt_ema200_ts_top60==0&reg_return_autocorr_48_ts_top80==0&reg_volatility_autocorr_48_ts_band30_70==0&reg_volume_zscore_48h_ts_band20_80==1),0.011504122149199247,0.011504122149199247,0.0047901875201056205,0.0382666077464819,0.024513932170925616,0.0022112158931663337,1.0,1.0,1.0,27,,,0.048655718657704114,0.04332764938856865,0.05034578576847289,0.05177117212201014,,1.0,0.0017926049410731655,0.0005748254915859301,0.010929296657613316,5,1,1,5,5,stage_a_context,,long,5-way,True,,,False,production
(*)|(LOC_95_AbovePrevDayMid==1)|(reg_price_lt_ema200_ts_top20==1&reg_return_autocorr_48_ts_top50==1),0.0029831282561644914,0.0029831282561644914,0.0021507678129833283,0.022878853045403956,0.23607999027104265,0.04447438606945599,1.0,1.0,1.0,256,,,0.05480691992885604,0.03740878105149433,0.03802999481079364,0.06744729069208946,,1.0,0.0014463335201352512,0.00014406830635976093,0.00283905994980473,5,1,1,3,3,stage_a_context,,long,3-way,True,,,False,production
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_atr_change_rate_ts_bot70==1&reg_price_lt_ema200_ts_top70==0&reg_return_autocorr_48_ts_band20_80==1&reg_volume_zscore_48h_ts_band20_80==1),0.007158485986292362,0.007158485986292362,0.004920654190662869,0.036547834426164626,0.03692810705906795,0.009522002262197422,1.0,1.0,1.0,30,,,0.041326803855777056,0.03323789378214085,0.03522092604033485,0.048090938127021615,,1.0,0.0013688880423542021,0.0004683429491190148,0.006690143037173347,5,1,1,5,5,stage_a_context,,long,5-way,True,,,False,production
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_price_lt_ema200_ts_top70==0&reg_volume_zscore_48h_ts_band30_70==1),0.006408495828509331,0.006408495828509331,0.0038131696372043795,0.03527938276529312,0.04472736117233935,0.009890132687133082,1.0,1.0,1.0,41,,,0.04323633608563857,0.04020300147083218,0.04419428199662427,0.059710361576556924,,0.8,0.0013501743555795703,0.0003309873545858842,0.006077508473923446,5,1,1,3,3,stage_a_context,,long,3-way,True,,,False,production
(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_top60==1&reg_volatility_autocorr_48_ts_bot20==1),0.006236930238083005,0.006236930238083005,0.003917138153544724,0.026696093380451202,0.039953458086942416,0.009030270585026177,1.0,1.0,1.0,31,,,0.036955380844501465,0.04506596572813538,0.045962550306549284,0.04788154585736047,,0.8,0.0012417958538178866,0.00035020379873406196,0.005886726439348943,5,1,1,3,3,stage_a_context,,long,3-way,True,,,False,production
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_price_lt_ema200_ts_top60==0&reg_return_autocorr_48_ts_band40_60==1&reg_volatility_autocorr_48_ts_band20_80==0&reg_volume_zscore_48h_ts_band25_75==1),0.01217962889932096,0.01217962889932096,0.007048578360299813,0.028201448917388915,0.010506513840961951,0.001545210044357991,1.0,1.0,1.0,10,,,0.038242310891718416,0.029062821143626134,0.04452690092080614,0.0496792792481793,,1.0,0.001239689588412224,0.0008780377555801709,0.011301591143740788,5,1,1,5,5,stage_a_context,,long,5-way,True,,,False,production
(*)|(LOC_73_AtSessionOpen_Short==1)|(reg_atr_change_rate_ts_top70==1&reg_price_lt_ema200_ts_top60==0&reg_volume_zscore_48h_ts_top30==1),0.0062646893318742515,0.0062646893318742515,0.004452837937702637,0.03326504044234753,0.035020699370151356,0.01084489236928086,1.0,1.0,1.0,26,,,0.025526861991423698,0.013494382943002117,0.02368580959498869,0.036871236629749206,,1.0,0.0011671653775685601,0.0004809280434971613,0.0057837612883770905,5,1,1,4,4,stage_a_context,,long,4-way,True,,,False,production
(*)|(LOC_136_Fib618Zone_Long==1)|(reg_price_lt_ema200_ts_top60==0&reg_return_autocorr_48_ts_band40_60==1&reg_volatility_autocorr_48_ts_band20_80==1&reg_volume_zscore_48h_ts_band25_75==1),0.011734769120812416,0.011734769120812416,0.01471760491379625,0.04563217312097549,0.015439399236884907,0.005336665220246551,1.0,1.0,0.8,10,,,0.037411629102038206,0.005316508590442732,0.028624628551159895,0.07500869453360308,,0.8,0.0011495676659375224,0.0007243147189861663,0.01101045440182625,5,1,1,5,5,stage_a_context,,long,5-way,True,,,False,production
(*)|(LOC_95_AbovePrevDayMid==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_compression_score_ts_band20_80==0&reg_return_autocorr_48_ts_top50==1&reg_trend_persistence_ts_top40==0),0.006164162745699286,0.006164162745699286,0.004236810952712116,0.021888232603669167,0.03008566042898621,0.008186112812910982,1.0,1.0,1.0,24,,,0.03442907756537753,0.018836568892032796,0.03482306230925507,0.036642325676399835,,0.8,0.0010646766622642537,0.0005188749860845438,0.005645287759614742,5,1,1,5,5,stage_a_context,,long,5-way,True,,,False,production
(*)|(LOC_75_BelowInitialBalanceMid==1)|(reg_bollinger_band_width_ts_top80==1&reg_volume_autocorr_48_ts_bot80==0),0.009347469080239534,0.009347469080239534,0.010522245033803314,0.025694553554058076,0.012894162118885829,0.0011716300410702586,1.0,1.0,1.0,14,,,0.034089813874621275,0.012185893353413716,0.02163588103647871,0.059563089588363156,,1.0,0.0010503758358833752,0.0006164551382674296,0.008731013941972105,5,1,1,3,3,stage_a_context,,long,3-way,True,,,False,production
