canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(ctx__95728724==1),a667369ddeb8,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),b60cb0331583,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),506db5e0d7bd,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d62721597adc,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f1549746edb5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),a169a562043f,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),b88a6f892a72,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),7a1fd3877424,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),e45007ae4f54,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),9e8fdadeef72,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c87e211fa982,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c2e8964d811b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),20a08c8ff171,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),fcfd3867d4a4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),e265a8dcbcc7,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),a661cfa293ad,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),dcc559e0bcec,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),27a6f3154962,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),5d4f77eab612,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),58e71685a8c4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),9523c1b5f2d6,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),a9a62d02e7a3,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),dc09828cb9e4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),50fe641644d4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),acc90fda4eb5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),299d674f9a91,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),85b4dfae54b9,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d38aba252e5b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),2aa5da7434ba,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d3e5c3cedf84,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f0aab55bd29b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),ca211d57ed48,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c4fc689087e2,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),26d1ec02ad5c,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),88b436dcb87a,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f203bd29fb0a,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),0214b476e2e5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),0ea0f73467a5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),681392a8fb80,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),af74fc20281c,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),3790bbc32290,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),fd4fc27447eb,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),ddc40f116483,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),168eeff34b6c,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),0798e16a13bf,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),cafca42f216d,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),3a6002b4bb52,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d7cf80b5a451,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),e5a76b1f5473,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),1dfd0b37a76a,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),2996f1439016,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c0cd9bda6dad,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),9df74ce53823,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),4318f8c50d5b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),b3f91987edba,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f3d564b78159,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),05480bf004c5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),00f1b2a4ba40,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c20929d5a8f4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),23f1b6c09311,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),de598427277c,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),434ac466100e,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f751b0dd57bf,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),e1be1109dfe4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),438eaf12da5f,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d293788cfca1,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),08f75511ec97,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),50911cec0767,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),8403027ff74f,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),dd19596015a6,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d2510d498f39,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),7ec0bc3f4078,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),33646b0b3c54,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),ef6c5f72072e,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),12723b77a85a,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),1f3f6672e810,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),a607baa3e30d,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),74334a780510,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d07c6ce31266,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),5cda7b8ff571,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d375d35c7040,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),b56d0f0c1df5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),50fad9f892b3,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),577afed91e5a,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),c95198c21364,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),56c4bd6fd3b5,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),2045bf62a49b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),e1aaa657ffd4,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),682809719eb0,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),6096eb14274b,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),11b9489d4aee,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f6904e99926e,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),9f90f668c239,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),8251daea939d,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),fa4d46a2b709,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),433c07eabb51,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d14b513ac6f1,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),be61ec7e7c77,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),64f81a2b7a14,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),842a94d1e592,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),ac0e07c5e837,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),4352a4d5e62c,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f26a3a7049fc,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),0ff6a59c19a3,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),d49bb9d14e70,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),56e8d5b38681,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),cac40cfe4620,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),9b4bc8f2fc0f,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),4e960905c695,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),20a5ce28b6a1,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),272311ce5737,0,42,0,ctx__95728724,context,ctx__95728724,context,1
(*)|(ctx__95728724==1),f64bd5b951af,0,42,0,ctx__95728724,context,ctx__95728724,context,1
