fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,1
0,42,26,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,2
0,42,1,loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,context,1
0,42,2,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,1
0,42,22,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,1
0,42,10,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,1
0,42,15,loc_dist_ema20_atr_ts_top60,location,dist_ema20_atr,context,1
0,42,21,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,1
1,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,1
1,42,26,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,2
1,42,1,loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,context,1
1,42,2,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,1
1,42,22,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,1
1,42,10,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,1
1,42,21,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,1
1,42,15,loc_dist_ema20_atr_ts_top60,location,dist_ema20_atr,context,1
2,42,1,loc_dist_ema20_atr_ts_top20,location,dist_ema20_atr,context,25
2,42,10,reg_atr_change_rate_ts_top50,regime,atr_change_rate,volatility,69
2,42,26,reg_atr_change_rate_ts_band25_75,regime,atr_change_rate,volatility,152
2,42,2,reg_atr_change_rate_ts_top30,regime,atr_change_rate,volatility,80
2,42,6,reg_atr_change_rate_ts_top40,regime,atr_change_rate,volatility,81
2,42,22,reg_atr_change_rate_ts_bot80,regime,atr_change_rate,volatility,64
2,42,21,loc_dist_ema20_atr_ts_bot70,location,dist_ema20_atr,context,1
2,42,15,loc_dist_ema20_atr_ts_top60,location,dist_ema20_atr,context,26
2,42,3,loc_dist_ema20_atr_ts_top30,location,dist_ema20_atr,context,33
2,42,24,reg_atr_change_rate_ts_band20_80,regime,atr_change_rate,volatility,18
2,42,14,reg_atr_change_rate_ts_top60,regime,atr_change_rate,volatility,72
2,42,23,loc_dist_ema20_atr_ts_bot80,location,dist_ema20_atr,context,22
2,42,18,reg_atr_change_rate_ts_top70,regime,atr_change_rate,volatility,69
2,42,0,reg_atr_change_rate_ts_top20,regime,atr_change_rate,volatility,77
2,42,12,reg_atr_change_rate_ts_bot50,regime,atr_change_rate,volatility,10
2,42,19,loc_dist_ema20_atr_ts_top70,location,dist_ema20_atr,context,25
2,42,7,loc_dist_ema20_atr_ts_top40,location,dist_ema20_atr,context,17
2,42,27,loc_dist_ema20_atr_ts_band25_75,location,dist_ema20_atr,context,31
2,42,40,reg_atr_compression_ratio_ts_top50,regime,atr_compression_ratio,volatility_term_structure,2
2,42,4,reg_atr_change_rate_ts_bot30,regime,atr_change_rate,volatility,3
2,42,41,loc_dist_ema50_atr_ts_top50,location,dist_ema50_atr,context,1
2,42,31,loc_dist_ema50_atr_ts_top20,location,dist_ema50_atr,context,1
2,42,8,reg_atr_change_rate_ts_bot40,regime,atr_change_rate,volatility,5
2,42,11,loc_dist_ema20_atr_ts_top50,location,dist_ema20_atr,context,23
2,42,9,loc_dist_ema20_atr_ts_bot40,location,dist_ema20_atr,context,2
2,42,56,reg_atr_compression_ratio_ts_band25_75,regime,atr_compression_ratio,volatility_term_structure,8
2,42,16,reg_atr_change_rate_ts_bot60,regime,atr_change_rate,volatility,5
2,42,25,loc_dist_ema20_atr_ts_band20_80,location,dist_ema20_atr,context,10
2,42,57,loc_dist_ema50_atr_ts_band25_75,location,dist_ema50_atr,context,8
2,42,20,reg_atr_change_rate_ts_bot70,regime,atr_change_rate,volatility,7
2,42,32,reg_atr_compression_ratio_ts_top30,regime,atr_compression_ratio,volatility_term_structure,1
2,42,87,loc_dist_ema200_atr_ts_band25_75,location,dist_ema200_atr,context,2
2,42,29,loc_dist_ema20_atr_ts_band30_70,location,dist_ema20_atr,context,5
2,42,30,reg_atr_compression_ratio_ts_top20,regime,atr_compression_ratio,volatility_term_structure,3
2,42,28,reg_atr_change_rate_ts_band30_70,regime,atr_change_rate,volatility,10
2,42,52,reg_atr_compression_ratio_ts_bot80,regime,atr_compression_ratio,volatility_term_structure,1
2,42,13,loc_dist_ema20_atr_ts_bot50,location,dist_ema20_atr,context,1
2,42,84,reg_atr_percentile_ts_band20_80,regime,atr_percentile,compression,1
2,42,53,loc_dist_ema50_atr_ts_bot80,location,dist_ema50_atr,context,1
2,42,17,loc_dist_ema20_atr_ts_bot60,location,dist_ema20_atr,context,1
2,42,58,reg_atr_compression_ratio_ts_band30_70,regime,atr_compression_ratio,volatility_term_structure,1
2,42,5,loc_dist_ema20_atr_ts_bot30,location,dist_ema20_atr,context,3
2,42,54,reg_atr_compression_ratio_ts_band20_80,regime,atr_compression_ratio,volatility_term_structure,1
