canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(loc_prev_day_range_pos_24>-0.27352038)|(atr_percentile>0.28708562&compression_ratio>-0.13209221&direction_entropy_20>0.29487282&volatility_ratio_short_long>-0.10281099),*,loc_prev_day_range_pos_24>-0.27352038,atr_percentile>0.28708562&compression_ratio>-0.13209221&direction_entropy_20>0.29487282&volatility_ratio_short_long>-0.10281099,-0.0008954226893062393,0.0008954226893062393,0.00289583001816355,0.026996061205863953,0.08608736942070276,0.009054521710313236,1.0,1.0,0.6391509433962265,554,,,-0.03842487230585089,-0.05402540443048014,-0.01346617054301238,-0.010344989299802383,,0.0,0.08379663082505288,4.501809154783312,1.0,0.11890655789063287,0.015739811129163703,-0.29461756432905534,0.5359849412196437,0.4818090321381434,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005375944504860034,0.005375944504860034,9.136277353674078e-05,0.0008040599157694985,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.08379663082505288,0.015739811129163703,-0.12076051976425865,0.7773979107312441,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008954226893062393, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0008040599157694985, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 554, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(choppiness_index_20>0.27670792&range_expansion_ratio>0.2380951&volatility_ratio_short_long>-0.37404251),*,*,choppiness_index_20>0.27670792&range_expansion_ratio>0.2380951&volatility_ratio_short_long>-0.37404251,-0.0008662057807669044,0.0008662057807669044,0.0023232729005617726,0.026127846911549568,0.09905033238366572,0.01170308814508502,1.0,1.0,0.6159334126040428,628,,,-0.03809451767237254,-0.053008701806290984,-0.016221613225818155,-0.012243881315176914,,0.0,0.0891378131219616,4.383681237503601,1.0,0.08522542760550496,0.02108099342607242,-0.28665858733150473,0.41526020303394623,0.45578528151067915,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005333615847746387,0.005333615847746387,7.047136967457875e-05,0.0007957344110923256,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.0891378131219616,0.02108099342607242,-0.0982114430780987,0.9848053181386514,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008662057807669044, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007957344110923256, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 628, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_prior_day_low>0.26481926&loc_bb_channel_pos_24>-0.045029014&loc_pullback_depth_48>-0.0037981926&loc_session_pos_24>-0.32133633&loc_swing_range_pos_24>0.041243196)|(variance_ratio_10_48>-0.2447793),*,dist_prior_day_low>0.26481926&loc_bb_channel_pos_24>-0.045029014&loc_pullback_depth_48>-0.0037981926&loc_session_pos_24>-0.32133633&loc_swing_range_pos_24>0.041243196,variance_ratio_10_48>-0.2447793,-0.0006373633320132891,0.0006373633320132891,0.0020674292867445426,0.025812537719806034,0.10849952516619184,0.013261556572972321,1.0,1.0,0.5876042908224076,688,,,-0.035558239165982386,-0.04822810444159405,-0.012573045921128002,-0.011395777267943535,,0.0,0.09361925612590645,3.838788062215773,1.0,0.09114012985640296,0.025562436430017266,-0.14170683810694426,0.45379432213646514,0.4753901068950925,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005268975723498912,0.005268975723498912,9.024503910276703e-05,0.0005471182929105221,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.09361925612590645,0.025562436430017266,-0.10258270106157823,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006373633320132891, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005471182929105221, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 688, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(ema20_slope_5h>0.11612394&volatility_ratio_short_long>0.26666683&volume_trend_48>0.07252606),*,*,ema20_slope_5h>0.11612394&volatility_ratio_short_long>0.26666683&volume_trend_48>0.07252606,-0.0006617175531573594,0.0006617175531573594,0.002169112911553494,0.025844143703579903,0.10702754036087368,0.013107649450657883,1.0,1.0,0.6230677764565993,677,,,-0.0358797014997943,-0.049178814845277766,-0.012856304453089957,-0.011068889630958673,,0.0,0.09431493490607278,3.678469830962073,1.0,0.08294666402469283,0.026258115210183588,-0.1276329068870711,0.4321280626457833,0.46482760426092795,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005264959837078101,0.005264959837078101,7.0226106513836e-05,0.0005914914466435234,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.09431493490607278,0.026258115210183588,-0.10017712779964356,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0006617175531573594, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0005914914466435234, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 677, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_prior_day_high>0.2343277&loc_pullback_depth_48>0.28708562)|(ema50_slope>0.060212933),*,dist_prior_day_high>0.2343277&loc_pullback_depth_48>0.28708562,ema50_slope>0.060212933,-0.0008203099326541027,0.0008203099326541027,0.0027011030366464713,0.026548542082309723,0.09140550807217473,0.010344622590483823,1.0,1.0,0.6296296296296297,583,,,-0.03678701232840741,-0.05272867939403238,-0.015007826600098046,-0.00995575239862777,,0.0,0.08679176231130163,5.240995458458482,1.0,0.07990196160182027,0.01873494261541243,-0.27346274484487126,0.4976170188918994,0.4542157781639939,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005241080727537684,0.005241080727537684,7.079001292152209e-05,0.0007495199197325806,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.08679176231130163,0.01873494261541243,-0.10707141522759815,0.8624881291547957,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008203099326541027, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007495199197325806, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 583, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing>0.25863752&dist_range_mid_atr>-0.055464026&loc_pivot_ladder_pos_48>0.30203229)|(*),*,dist_local_swing>0.25863752&dist_range_mid_atr>-0.055464026&loc_pivot_ladder_pos_48>0.30203229,*,-0.0008720751308525602,0.0008720751308525602,0.002808425980202122,0.027463518703977268,0.08024691358024692,0.008041671880738743,1.0,1.0,0.6127098321342925,519,,,-0.037142145805092626,-0.050367958689864316,-0.011298954104679222,-0.010994737070114228,,0.0,0.08489839089842588,2.8809581551883627,1.0,0.1359139400349867,0.016841571202536692,-0.3212689153035149,0.4091954122039761,0.471661359813044,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005222652603347956,0.005222652603347956,7.140198712086571e-05,0.0008006731437316944,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.08489839089842588,0.016841571202536692,-0.13486878124406024,0.6839506172839507,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008720751308525602, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0008006731437316944, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 519, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_ema50_atr>0.10854256&loc_bb_channel_pos_24>0.14720492&loc_pullback_depth_48>0.27198631)|(*),*,dist_ema50_atr>0.10854256&loc_bb_channel_pos_24>0.14720492&loc_pullback_depth_48>0.27198631,*,-0.0007048104307614267,0.0007048104307614267,0.0022179330899167,0.026058920348683994,0.10256410256410257,0.011601308450439874,1.0,1.0,0.6153846153846154,657,,,-0.03609110858042351,-0.050721812347804276,-0.013922174560338391,-0.010375937803000179,,0.0,0.08989715269662646,4.0185384413166805,1.0,0.08058301750040024,0.021840333000737264,-0.23627690787660194,0.4246387421135048,0.4518851121671346,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005222437559554011,0.005222437559554011,7.035235864562788e-05,0.0006344580721157989,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.08989715269662646,0.021840333000737264,-0.09941519518556952,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007048104307614267, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006344580721157989, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 657, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_weekly_vwap>-0.029638911&loc_pivot_ladder_pos_24>-0.10861528&loc_prev_day_range_pos_24>0.035353445&loc_swing_range_pos_48>0.27198631)|(compression_score>0.020945787&up_down_return_mass_ratio_tanh>-0.1508382),*,dist_weekly_vwap>-0.029638911&loc_pivot_ladder_pos_24>-0.10861528&loc_prev_day_range_pos_24>0.035353445&loc_swing_range_pos_48>0.27198631,compression_score>0.020945787&up_down_return_mass_ratio_tanh>-0.1508382,-0.0007048104307614267,0.0007048104307614267,0.0022179330899167,0.026058920348683994,0.10256410256410257,0.011601308450439874,1.0,1.0,0.6153846153846154,657,,,-0.03609110858042351,-0.050721812347804276,-0.013922174560338391,-0.010375937803000179,,0.0,0.08989715269662646,4.0185384413166805,1.0,0.08058301750040024,0.021840333000737264,-0.23627690787660194,0.4246387421135048,0.4518851121671346,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005222437559554011,0.005222437559554011,9.045303254437871e-05,0.0006143573982170479,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.08989715269662646,0.021840333000737264,-0.09941519518556952,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007048104307614267, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006143573982170479, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 657, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_prev_week_range_pos_24>0.11979138)|(atr_compression_ratio>0.27198631&rolling_range_20>-0.19988883&true_range_percentile>-0.1347522),*,loc_prev_week_range_pos_24>0.11979138,atr_compression_ratio>0.27198631&rolling_range_20>-0.19988883&true_range_percentile>-0.1347522,-0.0007048104307614267,0.0007048104307614267,0.0022179330899167,0.026058920348683994,0.10256410256410257,0.011601308450439874,1.0,1.0,0.6153846153846154,657,,,-0.03609110858042351,-0.050721812347804276,-0.013922174560338391,-0.010375937803000179,,0.0,0.08989715269662646,4.0185384413166805,1.0,0.08058301750040024,0.021840333000737264,-0.23627690787660194,0.4246387421135048,0.4518851121671346,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005222437559554011,0.005222437559554011,9.045303254437871e-05,0.0006143573982170479,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08989715269662646,0.021840333000737264,-0.09941519518556952,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0007048104307614267, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0006143573982170479, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 657, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_local_swing>0.29928511&dist_range_mid_atr>-0.25051126&loc_pullback_depth_24>0.23058158&loc_session_pos_48>-0.13994001)|(true_range_percentile>-0.12962991&volatility_ratio_short_long>-0.077390477),*,dist_local_swing>0.29928511&dist_range_mid_atr>-0.25051126&loc_pullback_depth_24>0.23058158&loc_session_pos_48>-0.13994001,true_range_percentile>-0.12962991&volatility_ratio_short_long>-0.077390477,-0.0008330178679898381,0.0008330178679898381,0.002938822000629216,0.02733640807370345,0.08281101614434948,0.008429336640245397,1.0,1.0,0.607773851590106,538,,,-0.03745391330450645,-0.052530398443065736,-0.013423894561227633,-0.01036241879430776,,0.0,0.08371048147810027,3.94154905287802,1.0,0.11804994131105355,0.01565366178221109,-0.30184758313520765,0.4448370049982526,0.4687240372119967,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005212850977740665,0.005212850977740665,9.160191932289512e-05,0.000741415948666943,3,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.08371048147810027,0.01565366178221109,-0.13256267162621752,0.7249762583095916,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008330178679898381, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000741415948666943, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 538, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(dist_prior_day_high>0.29928511&dist_range_mid_atr>0.29085952&loc_pivot_ladder_pos_48>-0.2447793)|(volume_percentile>-0.23584928),*,dist_prior_day_high>0.29928511&dist_range_mid_atr>0.29085952&loc_pivot_ladder_pos_48>-0.2447793,volume_percentile>-0.23584928,-0.0008330178679898381,0.0008330178679898381,0.002938822000629216,0.02733640807370345,0.08281101614434948,0.008429336640245397,1.0,1.0,0.607773851590106,538,,,-0.03745391330450645,-0.052530398443065736,-0.013423894561227633,-0.01036241879430776,,0.0,0.08371048147810027,3.94154905287802,1.0,0.11804994131105355,0.01565366178221109,-0.30184758313520765,0.4448370049982526,0.4687240372119967,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005212850977740665,0.005212850977740665,9.160191932289512e-05,0.000741415948666943,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08371048147810027,0.01565366178221109,-0.13256267162621752,0.7249762583095916,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008330178679898381, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000741415948666943, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 538, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(distance_to_ema>0.25559846&loc_bb_channel_pos_48>0.23831691&loc_prev_week_range_pos_24>0.29923686)|(*),*,distance_to_ema>0.25559846&loc_bb_channel_pos_48>0.23831691&loc_prev_week_range_pos_24>0.29923686,*,-0.0008330178679898381,0.0008330178679898381,0.002938822000629216,0.02733640807370345,0.08281101614434948,0.008429336640245397,1.0,1.0,0.607773851590106,538,,,-0.03745391330450645,-0.052530398443065736,-0.013423894561227633,-0.01036241879430776,,0.0,0.08371048147810027,3.94154905287802,1.0,0.11804994131105355,0.01565366178221109,-0.30184758313520765,0.4448370049982526,0.4687240372119967,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005212850977740665,0.005212850977740665,7.124593725114063e-05,0.0007617719307386975,3,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.08371048147810027,0.01565366178221109,-0.13256267162621752,0.7249762583095916,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008330178679898381, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0007617719307386975, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 538, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_range_pos_24>-0.15635964&loc_swing_range_pos_48>-0.12415393)|(atr_percentile>0.29928511&ema_slope_norm>0.18181735&rolling_range_20>-0.032578185),*,loc_range_pos_24>-0.15635964&loc_swing_range_pos_48>-0.12415393,atr_percentile>0.29928511&ema_slope_norm>0.18181735&rolling_range_20>-0.032578185,-0.0008330178679898381,0.0008330178679898381,0.002938822000629216,0.02733640807370345,0.08281101614434948,0.008429336640245397,1.0,1.0,0.607773851590106,538,,,-0.03745391330450645,-0.052530398443065736,-0.013423894561227633,-0.01036241879430776,,0.0,0.08371048147810027,3.94154905287802,1.0,0.11804994131105355,0.01565366178221109,-0.30184758313520765,0.4448370049982526,0.4687240372119967,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005212850977740665,0.005212850977740665,9.160191932289512e-05,0.000741415948666943,3,1,1,5,5,stage_a_context,,long,5-way,True,,production,0.08371048147810027,0.01565366178221109,-0.13256267162621752,0.7249762583095916,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008330178679898381, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.000741415948666943, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 538, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_bb_channel_pos_24>0.25559846)|(return_autocorr_48>-0.64678043&volatility_ratio_short_long>0.30407557&volume_trend_48>0.23831691),*,loc_bb_channel_pos_24>0.25559846,return_autocorr_48>-0.64678043&volatility_ratio_short_long>0.30407557&volume_trend_48>0.23831691,-0.0008920468001936873,0.0008920468001936873,0.0028271025850297856,0.027664266526699066,0.07872744539411207,0.00790081222846703,1.0,1.0,0.6047337278106509,510,,,-0.037738611602166315,-0.05088536524693833,-0.011886572069583884,-0.011665838191103091,,0.0,0.0847531542399803,2.8963951529037395,1.0,0.11670262751707272,0.016696334544091116,-0.31966141456536995,0.4118770150043682,0.4575525752163126,3.1250000000000013e-07,0.0,0.01,0.01,0.01,0.01,0.01,0.005136660004513294,0.005136660004513294,9.192703437877941e-05,0.0008001197658149079,3,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0847531542399803,0.016696334544091116,-0.14094535865798483,0.659639126305793,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 3, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0008920468001936873, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.0008001197658149079, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 510, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 3.1250000000000013e-07, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}"
